,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bonnie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Illusions,"Auster, Paul",0312990960,9780312990961,0312990960,288        pp,3.90,"24,133","Sep 04, 2002","Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Paperback,view,/book/show/50618.The_Book_of_Illusions
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sparrow,"Hynes, James",1419771248,9781419771248,1419771248,394        pp,4.03,"1,046","May 04, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Hardcover,view,/book/show/98654347-sparrow
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whale Fall,"O'Connor, Elizabeth",0593700910,9780593700914,0593700910,224        pp,4.12,204,"May 07, 2024","May 07, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I fell in love with this intimate, powerful, poetic and erotic novel by Elizabeth O'Connor. Though short in length, it is a beautiful book that I willI fell in love with this intimate, powerful, poetic and erotic novel by Elizabeth O'Connor. Though short in length, it is a beautiful book that I will not forget. It is hard to believe that this is Ms. O'Connor's debut novel as she writes like a master. The narrative is from the perspective of Manod, an 18 year old girl/woman, living on a remote island off the coast of Wales. The year is 1938, just prior to WWII. The approximately 50 people who reside on the island live very differently from those on the mainland. Their clothes are at least a decade behind current fashions, and some are even from the last century. Their knowledge of the outside world is quite limited, and most of them accept traditional male and female roles. The men fish while the women gather plants, help with the catch, keep house and raise children.Manod lives with her father and younger sister. They have a dog named Elis and I found it peculiar that Manod's father often called her by the dog's name. Manod is responsible for her sister as their mother is dead. From descriptions of Manod's sister, it is possible she is on the autism spectrum.One day a whale washes to shore and, over time, rots. The stench is overwhelming and the birds and other animals peck and dig at its flesh. The children write on the whale and it is viewed as quite a curiosity. Shortly after the whale beaches, two ethnographers come to the Island. They are very impressed with Manod as she speaks and writes both Welsh and English, They hire her to translate their interviews with the island's inhabitants and she also does some secretarial work. Their names are Joan and Edward. Joan, at first, is enamored of Manod's intelligence and curiosity. However, they soon become mired in misunderstandings. Manod feels an erotic attraction to Edward but is unsure how to act. He arranges to spend time alone with her and their relationship becomes subtly erotic. With the arrival of the ethnographers, Manod's understanding of the world widens and she longs to go with them when they leave. Her dream is to go to the mainland and get an education. She never thought it was possible for her until Joan told her that women, too, can get higher education.This book was stellar and the poetic style of the narrative drew me in from the beginning. I thank NetGalley and Pantheon for allowing me access to an early  copy. I highly recommend this book!...more",Notes are private!,0,2,1,"Apr 03, 2024","Apr 05, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/195888522-whale-fall
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Hour,"Hoffman, Alice*",1982175389,9781982175382,1982175389,272        pp,3.63,"28,031","Aug 15, 2023","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Paperback,view,/book/show/199798000-the-invisible-hour
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of the Woods,"Moore, Liz*",0593418913,9780593418918,0593418913,496        pp,4.54,175,"Jun 04, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/199700434-the-god-of-the-woods
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bear,"Phillips, Julia*",0525520430,9780525520436,0525520430,304        pp,4.20,186,"Jun 25, 2024","Jun 25, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"'Bear', by Julia Phillips, is very, very different from her first novel, 'Disappearing Earth'. In no way does 'Bear' come up to the brilliance of Ms. 'Bear', by Julia Phillips, is very, very different from her first novel, 'Disappearing Earth'. In no way does 'Bear' come up to the brilliance of Ms. Phillips' debut novel. The characterizations are weak and their inner lives are obscure and barely of interest. Some of the narrative is sensational and buried in myth but I wasn't able to feel a connection to either of the protagonists. The best part of this novel were the descriptions of the natural world on the island.'Bear' is told from Sam's point of view. She is Elena's 28 year old sister, the younger of the two. They are the third generation to live on several acres of beautiful land on San Juan Island, off the coast of Washington. Sam hopes with all her heart that one day she and Elena will escape this island and live a fuller life somewhere else. After all, Sam estimates that the land their old and falling down house is built upon is worth around $500,000. She also thinks that Elena shares her dream of escaping the island. The only thing holding them back is their mother, who is very ill. While they lovingly care for her, they also dream of how her death will set them free from this house and this puny life.Both sisters have jobs in the service industry. Sam works on the ferry, for a company that contracts with the Washington State Ferry system. Because she is employed by a contractor, she doesn't get any of the benefits that come with a state job. Elena is a waitress in a country club on their island.They are constantly in debt, trying to make payments for their mother's medical bills and their own costs of living. They can never catch up. What made it even worse, is they had to struggle through the pandemic when both the ferry system and the country club barely functioned.One day, off the side of the ferry, Sam sees a swimming bear that is headed towards her island. She is both enthralled and fearful. When they later see the bear in their yard, she is full of terror. Elena does not share Sam's fear. She becomes enamored of the bear and puts herself in dangerous circumstances just to be near the bear, her allegorical lover.I started getting bored by the novel somewhere near the middle. Usually when this happens, I don't finish the book. However, I crawled through this one, page after page, until the end. I had the end figured out but it still threw me for a loop. Ms. Phillips has proven her enormous skill in 'Disappearing Earth' and I'm hoping she writes another novel of that caliber....more",Notes are private!,0,2,1,"Mar 24, 2024","Mar 27, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/196056205-bear
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Animals,"Braunstein, Sarah",1324051043,9781324051046,1324051043,304        pp,3.61,171,unknown,"Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Maeve Cosgrove works in a small library in Maine. Despite not having a graduate degree in library science, she was hired and has proven her worth. SheMaeve Cosgrove works in a small library in Maine. Despite not having a graduate degree in library science, she was hired and has proven her worth. She is even thought of as the heart of the library. She has written several letters to famous author Harrison Riddle, inviting him to give a reading at the library, and she has even attained a grant to finance his visit. What a coup!One day, out of the blue, Maeve is called into her boss's office and told that a teenaged library patron named Libby has filed an abuse claim against her. Libby is a troubled teen and there are rumors that she set something on fire and had a relationship with one of her teachers. Libby is considered a Borderline Personality: impulsive, promiscuous, mercurial moods, elastic view of reality, etc. Maeve is astonished at the claim of abuse and vehemently proclaims her innocence. Shortly after this, Maeve is laid off, purportedly due to budget cuts, but Maeve can't help thinking she is being let go due to Libby's claim.Maeve flounders without her job. She is in a happy marriage but her husband travels a lot and is currently in Florida visiting his ill mother. Her daughter Paige, to Maeve's chagrin, won't be coming home this summer. The library continues on without her, and even when Harrison Riddles accepts the offer to give a reading at the library, it is easily forgotten that Maeve was the catalyst that got him there. How can Maeve find her center and once again feel fulfilled?Maeve is obsessed with Libby. At times she thinks she's a evil, and at other times she feels empathy for the very troubled girl. Maeve wonders (as do I) why the diagnosis of Borderline Personality Disorder is so freely given to females and not males. Maeve, in her obsession, often drives by the library looking for Libby. Why she does this is a mystery to her. Does she want to tell Libby she forgives her? Or does she want to connect with her in some way?This novel examines many discordant themes with depth and acuity. Maeve's character is well-woven and her thoughts, motives, conflicts and actions viewed with a close-up lens. All aspects of Maeve's character are explored, an aspect of this novel that I loved. I highly recommend this book to anyone who loves character driven literary fiction....more",Notes are private!,0,4,1,"Mar 28, 2024","Mar 31, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/150778707-bad-animals
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",0399590943,9780399590948,0399590943,309        pp,3.66,"176,356","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/62628727-romantic-comedy
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving,"Robinson, Roxana",1324065389,9781324065388,1324065389,344        pp,4.04,"1,699","Feb 13, 2024","Feb 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Roxana Robinson's novel, 'Leaving', is not your ordinary fare. It is about what it means to discard and leave, both literally and emotionally. It is aRoxana Robinson's novel, 'Leaving', is not your ordinary fare. It is about what it means to discard and leave, both literally and emotionally. It is also about marriage, love, family and loyalty. Ultimately, it is the story of two lovers, one married and the other divorced. Warren and Sarah were college sweethearts. Sarah broke off their relationship prior to graduating because she thought Warren was too impulsive. When they randomly meet at an opera decades later, their affair is reignited.Warren is an architect in an unfulfilled marriage with a woman he proposed to for the wrong reasons. Sarah is a divorcee who is content with her profession as a museum exhibition coordinator. She has not had a serious relationship since her divorce. When Sarah and Warren meet again, their attraction is rekindled and they begin a serious and intimate affair almost immediately. Warren lives in Boston and Sarah lives a bit north of New York City so their time together is limited to weekends or when Warren can get away from home for a business meeting.Initially, I did not feel grounded in the novel but as it progressed I was seriously hooked. The love affair is related via each of their experiences and perspectives. As they fall more and more in love, Warren wants to end his marriage and be with Sarah. Is this possible for a man with a deep sense of loyalty and commitment?Both of them have adult children for whom they feel deep love. The meaning of family and vows play center stage in this narrative. Are we beholden to our vows and promises? Do we fulfill ourselves and our needs despite the fallout? What does it mean to be loyal, and to whom do we owe our loyalty?As Ms. Robinson tells us, marriage can be a fragile thread or a tightrope. All good marriages require work and commitment. Leaving is often done without deep consideration. ""The thing about absence is that it is always there."" It affects not only the one who leaves but the whole constellation of what is called family. And the leaving endures.As the narrative moves towards its denouement, the limits of love and loyalty become paramount. Will Sarah and Warren have a future together or will they be tested beyond the limits of their emotional endurance?...more",Notes are private!,0,2,1,"Mar 13, 2024","Mar 16, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/150778780-leaving
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolution,"McDermott, Alice",0374610487,9780374610487,0374610487,324        pp,3.88,"12,823","Oct 31, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have been a fan of Alice McDermott for many years. 'Absolution' is a novel that takes a close-up lens of the wives of soldiers just prior to, and duI have been a fan of Alice McDermott for many years. 'Absolution' is a novel that takes a close-up lens of the wives of soldiers just prior to, and during, the Vietnam War. The wives, for the most part, appear to be beholden to their spouses in a very patriarchal culture that was prevalent in the United States at that time. They rely on permission for most everything. Some of them secretly choose to escape their husband's approval and go out on there own. They all seek absolution by trying in some way to lesson the pain they view around them. They may visit hospitals, leper colonies, or give Barbie Dolls to the ill.The novel is epistolary, letters written by women to one another. I enjoyed this book but I felt it was not in the league with Ms. McDermott's best. I recommend it highly as I would any novel written by this author. Thank you to NetGalley and the publisher for an Advanced Review Copy....more",Notes are private!,0,3,1,not set,not set,"Mar 09, 2024",,Hardcover,view (with text),/book/show/101404407-absolution
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hunter        (Cal Hooper #2),"French, Tana*",0593493435,9780593493434,0593493435,480        pp,4.22,"10,682","Mar 05, 2024","Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tana French has outdone herself with 'The Hunter', a follow-up to 'The Searcher'. Despite being a follow-up, it can be readily enjoyed as a stand-alonTana French has outdone herself with 'The Hunter', a follow-up to 'The Searcher'. Despite being a follow-up, it can be readily enjoyed as a stand-alone. The novel takes place in the village of Ardnakelty in western Ireland. It is an unusually hot summer and there has been no rain for weeks. Everyone is restless.Cal Hooper, a retired Chicago detective, has chosen Ardnakelty for his retirement years. He is still very emotionally connected to Trey Reddy who is now a teenager, and he is continuing his affair with Lena, a local widow. Trey and Cal have a woodworking business and take commissions for furniture. The town is so small that everyone is aware of everyone else's business. Arriving unexpectedly in Ardnakelty is Johnny Reddy, Trey's long-absent n'eer-do-well father. His story is that he's been hobnobbing with the rich and famous in London but everyone knows that Johnny's stories can't be taken at face value. Interestingly, a London friend of Johnny's accompanies him to Ardnakelty. According to Johnny, his friend is a millionaire and has a gold mining proposition for the townsmen. He knows where there is gold because his grandmother hailed from this village and told him just where to dig. For just a small investment, each man can become rich. Gold fever and greed take over despite reservations about the accuracy of this stranger's plan.Meanwhile, Trey is seeking revenge for the 'disappearance' of her brother who she believes was murdered by some local men. She concocts a story that she believes will out her brother's murderers and distances herself from Cal and Lena. This is a literary novel that happens to include a murder. The characterizations and narrative are so engaging that I had trouble putting the book down. Ms. French's attunement to the ambience of Ardnakelty and her perspicacity in drawing the characters is stunning. The slow burning and langourous feeling of the book provides a sense of what it's like to be in Ardnakelty. I felt like I was living there myself. I highly recommend this novel to all readers who enjoy literary fiction spiced with a bit of intrigue....more",Notes are private!,2,6,1,"Mar 05, 2024","Mar 07, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/174156145-the-hunter
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Never Come Back        (Nora McTavish, #2)","Hart, Joe*",1662515324,9781662515323,B0BXBF7NZJ,280        pp,4.20,419,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Kindle Edition,view,/book/show/92217371-never-come-back
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sparks Like Stars,"Hashimi, Nadia*",0063008289,9780063008281,0063008289,464        pp,4.29,"19,312","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/53746807-sparks-like-stars
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Butcher,"Oates, Joyce Carol",0593537777,9780593537770,0593537777,352        pp,4.40,5,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/197516630-butcher
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mercury,"Burns, Amy Jo*",,,1250908566,336        pp,3.89,"10,398","Jan 02, 2024","Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/127305817-mercury
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautyland,"Bertino, Marie-Helene*",0374109281,9780374109288,0374109281,336        pp,4.26,"2,311","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/127282939-beautyland
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of the Woods,"Moore, Liz*",059341893X,9780593418932,B0CL1YQLB5,496        pp,4.54,175,"Jun 04, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Kindle Edition,view,/book/show/199698485-the-god-of-the-woods
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Arctic Sun,"Grimwood, Jack",,,B0C4GL3G5Z,414        pp,4.04,126,"Nov 02, 2023","Nov 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Kindle Edition,view,/book/show/150054077-arctic-sun
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bear Head        (Dogs of War, #2)","Tchaikovsky, Adrian*",1800241577,,B08DJBQ1M8,316        pp,4.27,"4,787","Jan 07, 2021","Jan 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2023","Nov 12, 2023","Nov 10, 2023",,Kindle Edition,view,/book/show/56082145-bear-head
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hot Springs Drive,"Hunter, Lindsay*",0802161456,9780802161451,0802161456,288        pp,3.56,"1,778","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 15, 2023",,Hardcover,view,/book/show/122944244-hot-springs-drive
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snow Road Station,"Hay, Elizabeth",103900332X,9781039003323,103900332X,240        pp,3.78,"1,226","Apr 11, 2023","Apr 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 05, 2023","Sep 10, 2023","Sep 05, 2023",,Hardcover,view,/book/show/61608224-snow-road-station
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Detective Up Late        (Sean Duffy, #7)","McKinty, Adrian",,9798212019002,B0BVGJ4VPC,299        pp,4.39,"2,392",2018,"Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am new to the Sean Duffy series by Adrian McKinty and this is what appears to be the last installment in the series. However, it can be read as a stI am new to the Sean Duffy series by Adrian McKinty and this is what appears to be the last installment in the series. However, it can be read as a standalone book and I plan to revisit the series from the beginning.The novel opens in the early 1990's. CID Duffy is Catholic and has suffered through the Irish 'troubles' in Belfast for years. He's experienced all forms of terror- bombings, riots, assassinations, etc. He doesn't get into his vehicle without checking underneath it for bombs or other explosives. He and his partner Beth, along with their daughter Emma, have moved to Scotland to get away from the 'troubles'.Duffy is working on a case, one he hopes is his last full-time one. A 15. year-old traveller girl names Kat has disappeared and it looks suspiciously like murder. Some of his colleagues are not taking Kat's disappearance too seriously, Travellers are not important to them. Duffy, however, is determined to find Kat. He is hoping this will be his last full-time case so that he can move to part-time for three years and then retire with a pension,On top of Duffy's looking for Kat, he is managing an informant (double agent) who is very squirrelly. This informant believes that something bad is up and he is in danger. There is a meeting scheduled and he wants Duffy to be there for protection.One of the things I enjoyed very much in this novel is Duffy's knowledge of philosophy, music, literature, and poetry. He is a well-educated man and this is apparent throughout the book....more",Notes are private!,2,2,1,"Aug 13, 2023","Aug 16, 2023","Sep 02, 2023",,Hardcover,view (with text),/book/show/122859501-the-detective-up-late
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cold Cold Ground        (Detective Sean Duffy, #1)","McKinty, Adrian",1441785698,9781441785695,1441785698,11        pp,3.91,"13,773",2012,"Jan 03, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 02, 2023","Mar 09, 2024","Sep 02, 2023",,Audio CD,view,/book/show/13008754-the-cold-cold-ground
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Professor,"Nossett, Lauren*",1250845351,9781250845351,1250845351,336        pp,3.48,"1,230","Nov 14, 2023","Nov 14, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoy reading novels about campus/university life, especially novels that look into the toxicity that resides there. This novel takes place in AthenI enjoy reading novels about campus/university life, especially novels that look into the toxicity that resides there. This novel takes place in Athens, Georgia and the university located there. A young man student named Ethan is found dead in his room off campus, questionably by suicide, and there are rumors that he was sexually involved with his German Professor, Verena Sobek. This thriller/mystery is very intense. Marlitt Kaplan, once a police officer, but now disgraced and kicked off the force, is a research assistant for her father who is a professor. She decides to investigate Ethan's death. In order to get close to the source, she applies to be a roommate in Ethan's former dwelling with his two living roommates. She is accepted by them and moves into Ethan's former apartment.The novel is told from various points of view. There is the female goth roommate, the male narcissistic roommate, and Verena Sobek. Marlitt is sniffing around all of them, trying to find out what happened to Ethan. Was he hopelessly in love with Verena, then rejected by her so he took his life? Or was it something more onerous? Did someone want to kill Ethan and make it look like a suicide.I enjoyed the parts about the bored students, the uncaring professors, all the cheating that went on, and the spurious complaints about grades.Marlitt is an interesting protagonist. She is savvy about investigative work and misses her time on the force. However, she knows that she messed things up so much there that she can never be reinstated. All of the characters have interesting back stories which are slowly revealed as the novel progresses. My only criticism is that I found the ending too unbelievable. I could not suspend belief enough to but into it....more",Notes are private!,0,2,1,"Aug 10, 2023","Aug 14, 2023","Sep 02, 2023",,Hardcover,view (with text),/book/show/65211810-the-professor
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dark Ride,"Berney, Lou*",0062663860,9780062663863,B0BSV846LQ,244        pp,3.83,"1,610","Sep 12, 2023","Sep 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is a rare day when I give five stars to a mystery. Yes, this is a thriller but it is so much more than that. It is a clear and deep look at a youngIt is a rare day when I give five stars to a mystery. Yes, this is a thriller but it is so much more than that. It is a clear and deep look at a young man who goes form being a don't-care-about-anything stoner to a man with a mission, to save two children from abuse.Hardy, called 'Hardly' because most of the time he is missing in action, to be found stoned at his dead-end job in an amusement park or with his only two friends, smoking pot. Hardly has to go to the DMV and serendipitously, he sees two young children, Jack and Pearl, sitting on a bench by the office. He bends down to speak to them and he sees what he believes are cigarette burns on Pearl. Seeing this shocks Hardly and he goes on a mission to find who did this to the children and save them from any further abuse.The author takes us on a thrilling, sexy, amusing and intense ride as Hardly turns into a real man, a mensch who cares for something more than getting high....more",Notes are private!,0,1,1,"Sep 20, 2023","Mar 09, 2024","Sep 01, 2023",,Hardcover,view (with text),/book/show/86033989-dark-ride
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And Then She Fell,"Elliott, Alicia*",0593473086,9780593473085,0593473086,368        pp,3.97,"1,929","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 01, 2023",,Hardcover,view,/book/show/75500819-and-then-she-fell
