,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kerry (lines i underline)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night War,"Bradley, Kimberly Brubaker*",0735228566,9780735228566,0735228566,288        pp,4.31,128,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Apr 08, 2024",,Hardcover,view,/book/show/186872349-the-night-war
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cassandra in Reverse,"Smale, Holly*",,9781488228124,,unknown,3.56,"35,458","May 11, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 31, 2024",not set,"Mar 31, 2024",,Audiobook,view,/book/show/162728951-cassandra-in-reverse
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happily Never After,"Painter, Lynn*",0593638018,9780593638019,,304        pp,3.85,"12,322","Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,Paperback,view,/book/show/196700456-happily-never-after
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Treacherous Curse        (Veronica Speedwell, #3)","Raybourn, Deanna*",,,B078JNYV9V,12        pp,4.16,"21,613","Jan 16, 2018","Jan 16, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 23, 2024",,Audible Audio,view,/book/show/37659509-a-treacherous-curse
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Listen for the Lie,"Tintera, Amy*",,,B0C3PHN7SV,unknown,4.22,"34,459","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 14, 2024",not set,"Mar 14, 2024",,Audiobook,view,/book/show/203695802-listen-for-the-lie
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Play for Me,"Hubscher, Libby*",,9780593675915,,unknown,3.71,"1,761","Jun 20, 2023","Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024",not set,"Mar 05, 2024",,Audiobook,view,/book/show/63050766-play-for-me
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightwatching,"Sierra, Tracy*",,,,360        pp,3.97,"6,213","Feb 01, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,4.0⭐️Lines I underlined:“Maybe bravery is just enduring. Maybe bravery doesn’t exist. All there is is getting through it.”“Easier to believe a woman’s4.0⭐️Lines I underlined:“Maybe bravery is just enduring. Maybe bravery doesn’t exist. All there is is getting through it.”“Easier to believe a woman’s lying than that bad things happened on your watch. Easier to believe the simplest thing is always correct. And it’s simple to say a woman is crazy.”...more,Notes are private!,0,3,1,"Feb 15, 2024","Feb 26, 2024","Feb 26, 2024",,ebook,view (with text),/book/show/207915446-nightwatching
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Madness of Crowds        (Chief Inspector Armand Gamache, #17)","Penny, Louise*",,,B08TYBSPK8,unknown,4.19,"66,869","Aug 24, 2021","Aug 24, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5⭐️Lines I underlined:“maybe the key was not in being held, but in holding.”“As a diversion, few things were as effective as chocolate cake.”“Anythi4.5⭐️Lines I underlined:“maybe the key was not in being held, but in holding.”“As a diversion, few things were as effective as chocolate cake.”“Anything could happen to anyone, at any moment. What made a place safe were the people. The caring. The kindness. The helping. Sometimes the mourning. And often the forgiveness.”...more",Notes are private!,0,3,1,"Feb 10, 2024","Feb 26, 2024","Feb 26, 2024",,Audible Audio,view (with text),/book/show/56821824-the-madness-of-crowds
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Day,"Nicholls, David",,,B00EW3Z42A,unknown,3.83,"341,196","Jun 11, 2009","Feb 04, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 25, 2024",not set,"Feb 25, 2024",,Audible Audio,view,/book/show/200086245-one-day
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ready or Not,"Bastone, Cara",,,,unknown,4.11,"17,170","Feb 13, 2024","Feb 13, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"5.0⭐️A pitch perfect romcom. Lines I underlined:“‘How do other people deal with shocking new information?” I ask him, tracing the zigzag of my shoelac5.0⭐️A pitch perfect romcom. Lines I underlined:“‘How do other people deal with shocking new information?” I ask him, tracing the zigzag of my shoelaces with one finger. “Oh, they make big scenes, and ruin weddings, and throw whipped cream pies. Or they don’t make a peep, and get into their bathtubs and cry their eyes out, and believe all of it was their fault and they were born doomed.”“It’s a novel idea, because if it’s not just me taking care of my body, if listening to my body means that it’s taking care of me too, then maybe, just maybe, I’m not completely alone.”“Once I started seeing the web, I couldn’t stop seeing it - all the people, who love all the people.”“God, what a perfect system, because each of us is somebody’s favourite.”...more",Notes are private!,0,5,1,"Feb 19, 2024","Feb 26, 2024","Feb 19, 2024",,Audiobook,view (with text),/book/show/207589760-ready-or-not
