,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Michelle's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greenwich Park,"Faulkner, Katherine",1982150319,9781982150310,1982150319,384        pp,3.85,"62,853","Apr 01, 2021","Jan 25, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Absolute shite and I loved it. Everyone is an idiotic dickhead.Serious question- how can concrete be dry enough to leave someone who came in it's viciAbsolute shite and I loved it. Everyone is an idiotic dickhead.Serious question- how can concrete be dry enough to leave someone who came in it's vicinity covered in concrete dust, but wet enough to slip a whole body into? How were people walking in the basement if the floor was wet concrete that you could slip a body into? Hope they took all the floor out cos there could definitely be a few more party goers who accidentally got themselves pompei-d in the flooring...more",Notes are private!,0,3,1,"Feb 02, 2024","Feb 02, 2024","Feb 02, 2024",,Hardcover,view (with text),/book/show/55905003-greenwich-park
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Big Swiss,"Beagin, Jen",1982153083,9781982153083,1982153083,336        pp,3.69,"62,754","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/60701439-big-swiss
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Silver on the Tree        (The Dark is Rising, #5)","Cooper, Susan*",0689840330,9780689840333,0689840330,274        pp,4.11,"34,614",1977,"Dec 01, 2000",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Anticlimactic!!!,Notes are private!,0,1,1,"Jan 09, 2024","Jan 26, 2024","Jan 09, 2024",,Paperback,view (with text),/book/show/11313.Silver_on_the_Tree
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Grey King        (The Dark is Rising, #4)","Cooper, Susan*",1416949674,9781416949671,1416949674,165        pp,4.16,"38,880",1975,"May 08, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Absolutely loved all the Welsh content! And all the brave dogs! I feel like the pacing in these books is a bit weird, think they needed a better editoAbsolutely loved all the Welsh content! And all the brave dogs! I feel like the pacing in these books is a bit weird, think they needed a better editor maybe? Overall they are absolute bangers though!...more",Notes are private!,0,1,1,"Jan 09, 2024","Jan 09, 2024","Jan 09, 2024",,Paperback,view (with text),/book/show/222576.The_Grey_King
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Album,"Didion, Joan",0374532079,9780374532079,0374532079,224        pp,4.06,"39,038",1979,"Nov 10, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 09, 2024",,Paperback,view,/book/show/421.The_White_Album
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Concerning My Daughter,"Hye-Jin, Kim",1529057671,9781529057676,1529057671,176        pp,3.71,"7,530","Sep 15, 2017","Apr 14, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really good read! Very empathetic, saying a lot without spoonfeeding. I feel like trying to see other people's point of view is looked down upon theseReally good read! Very empathetic, saying a lot without spoonfeeding. I feel like trying to see other people's point of view is looked down upon these days but can be so powerful for building an empathetic world!My only criticism is how harrowing they make the social care, I know care homes can be bad, but I worry books like this upset the relatives of those who need to live in them. My Nana's care home extended her life and improved her quality of life immensely....more",Notes are private!,0,0,1,"Jan 09, 2024","Jan 09, 2024","Jan 09, 2024",,Paperback,view (with text),/book/show/59703696-concerning-my-daughter
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Private Rites,"Armfield, Julia",0008608059,9780008608057,B0CJXBD1X2,0        pp,4.33,51,"Dec 03, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Kindle Edition,view,/book/show/199313102-private-rites
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Westminster Works . . . and Why It Doesn't,"Dunt, Ian",1399602756,9781399602754,B09TKLDML7,417        pp,4.49,"1,113",unknown,"Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Kindle Edition,view,/book/show/92068764-how-westminster-works-and-why-it-doesn-t
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Greenwitch        (The Dark is Rising, #3)","Cooper, Susan*",0689840349,9780689840340,0689840349,147        pp,4.00,"30,592",1974,1997,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,**spoiler alert** The Greenwitch is a hotty with a grotty body! Love her attitude,Notes are private!,0,0,1,Jan 2024,Jan 2024,"Jan 01, 2024",,Paperback,view (with text),/book/show/24963.Greenwitch
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Over Sea, Under Stone        (The Dark is Rising, #1)","Cooper, Susan*",068987121X,9780689871214,068987121X,196        pp,3.85,"52,939",1965,"May 25, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Great mystery book with a bit of a lackluster ending, but fair enough as it is the start of a series",Notes are private!,0,1,1,"Dec 31, 2023","Dec 31, 2023","Dec 31, 2023",,Paperback,view (with text),/book/show/11312.Over_Sea_Under_Stone
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Employees: A Workplace Novel of the 22nd Century,"Ravn, Olga",1999992881,9781999992880,1999992881,136        pp,3.68,"15,880","May 24, 2018","Oct 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Paperback,view,/book/show/53780642-the-employees
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dark Is Rising        (The Dark is Rising, #2)","Cooper, Susan*",1416949658,9781416949657,1416949658,244        pp,4.04,"57,358",Apr 1973,"May 08, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A wonderful Christmas read! My one criticism is that the peril was never that dramatic, but I guess it is written for children",Notes are private!,0,1,1,"Dec 26, 2023","Dec 26, 2023","Dec 26, 2023",,Paperback,view (with text),/book/show/210329.The_Dark_Is_Rising
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lambslide,"Patchett, Ann",0062883380,9780062883384,0062883380,32        pp,3.60,585,"May 07, 2019","May 07, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Working my way through all the Ann Patchett I can get hands on, this was a nice book but I think I'm 30 years out of the target audienceWorking my way through all the Ann Patchett I can get hands on, this was a nice book but I think I'm 30 years out of the target audience...more",Notes are private!,0,0,1,"Dec 13, 2023","Dec 13, 2023","Dec 13, 2023",,Hardcover,view (with text),/book/show/41154329-lambslide
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,David Copperfield: Abridged Edition,"Dickens, Charles",0141343826,9780141343822,0141343826,277        pp,4.03,"238,606",Nov 1850,"May 02, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"C'est classique! What a ride! Listened to the abridged audible recording with Ncuti Gatwa who was phenomenal. Trotwood is a really silly sausage. AbsoC'est classique! What a ride! Listened to the abridged audible recording with Ncuti Gatwa who was phenomenal. Trotwood is a really silly sausage. Absolutely loved Jip the dog, such a riot! Not sure about some of Audible's decisions in making things that were maybe ""implied"" explicit but hey ho, the resulting audiobook was great...more",Notes are private!,0,3,1,"Dec 13, 2023","Dec 16, 2023","Dec 09, 2023",,Paperback,view (with text),/book/show/15925003-david-copperfield
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diary of a Void,"Yagi, Emi",0143136879,9780143136873,0143136879,213        pp,3.52,"17,915",2020,"Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Hardcover,view,/book/show/59629744-diary-of-a-void
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,161","May 19, 2020","May 19, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An ambitious feat, adding light and shade into a dictator. Not bad, just not amazing.",Notes are private!,0,1,1,"Dec 04, 2023","Dec 04, 2023","Dec 04, 2023",,Kindle Edition,view (with text),/book/show/51901147-the-ballad-of-songbirds-and-snakes
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,629","Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Torn between a 3 and 4! It's a very gentle book, not super pacey, but very warm and beautiful like all of Ann's work! I would recommend so long as youTorn between a 3 and 4! It's a very gentle book, not super pacey, but very warm and beautiful like all of Ann's work! I would recommend so long as you like a 'nice' book!...more",Notes are private!,0,1,1,"Dec 03, 2023","Dec 03, 2023","Dec 03, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Glutton: The Multi-Course Life of a Very Greedy Boy,"Gamble, Ed",1787636313,9781787636316,B0C4XMY9TK,279        pp,3.87,"1,415",unknown,"Oct 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some interesting parts, not ground breaking but enjoyed most of it",Notes are private!,0,0,1,"Nov 15, 2023","Nov 15, 2023","Nov 15, 2023",,Kindle Edition,view (with text),/book/show/152221770-glutton
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letters to My Weird Sisters: On Autism and Feminism,"Limburg, Joanne",1838950079,9781838950071,1838950079,272        pp,4.16,522,"Jul 01, 2021","Jul 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 13, 2023",,Paperback,view,/book/show/61312184-letters-to-my-weird-sisters
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book You Want Everyone You Love* To Read *,"Perry, Philippa",1529910390,9781529910391,B0BZ3R1JC2,208        pp,3.96,"1,597",unknown,"Oct 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Surprised at how useful I found this book!!! Want to buy it for a few of my family but maybe a bit offensive to gift self-help books,Notes are private!,0,5,1,"Nov 13, 2023","Nov 13, 2023","Nov 09, 2023",,Kindle Edition,view (with text),/book/show/108519185-the-book-you-want-everyone-you-love-to-read
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ties That Bind,"Kelly, Erin*",1444728385,9781444728385,B00H4EPC4E,352        pp,3.74,753,"May 08, 2014","May 08, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** A page turner, but as with some of Kelly's other books, some really weird takes! Jem's redemption arc was weird.**spoiler alert** A page turner, but as with some of Kelly's other books, some really weird takes! Jem's redemption arc was weird....more",Notes are private!,1,0,1,"Nov 07, 2023","Nov 09, 2023","Nov 07, 2023",,Kindle Edition,view (with text),/book/show/19884930-the-ties-that-bind
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Mirrors,"Kelly, Erin*",,,B0CJP84Q7N,368        pp,4.29,78,unknown,"Apr 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 07, 2023",,Kindle Edition,view,/book/show/199299165-the-house-of-mirrors
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Descent of Man,"Perry, Grayson",0241236274,9780241236277,0241236274,151        pp,4.02,"7,868","Oct 20, 2016","Oct 20, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very good! I almost want to read it again right away as it had so many interesting ideas. A few slightly offbeat bits, eg at the end it felt like GrayVery good! I almost want to read it again right away as it had so many interesting ideas. A few slightly offbeat bits, eg at the end it felt like Grayson was ridiculing men who cross the street to make women feel more comfortable, I actually really appreciate that some men think to do this. I also worried some parts on occasion were edging a little close to transphobia but it was also very clear his heart it is the right place....more",Notes are private!,0,0,1,"Nov 05, 2023","Nov 06, 2023","Nov 05, 2023",,Hardcover,view (with text),/book/show/30118099-the-descent-of-man
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Iceland Changed the World: The Big History of a Small Island,Egill Bjarnason*,0525507469,9780525507468,B08GJVF52B,288        pp,4.10,"3,118","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 30, 2023",,Kindle Edition,view,/book/show/55701685-how-iceland-changed-the-world
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kindred,"Butler, Octavia E.",0807083690,9780807083697,0807083690,288        pp,4.30,"217,810",Jun 1979,"Feb 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Wtf,Notes are private!,0,1,1,"Oct 30, 2023","Nov 05, 2023","Oct 30, 2023",,Paperback,view (with text),/book/show/60931.Kindred
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1964 : Eye of the Storm,"McCartney, Paul",0241619718,9780241619711,0241619718,335        pp,4.42,695,"Jun 13, 2023","Jun 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Simply beautiful!!,Notes are private!,0,1,1,"Oct 30, 2023","Oct 30, 2023","Oct 30, 2023",,Hardcover,view (with text),/book/show/80342133-1964
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay True,"Hsu, Hua*",0385547773,9780385547772,0385547773,208        pp,4.04,"27,006","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2023",,Hardcover,view,/book/show/59900070-stay-true
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Opinions: A Decade of Arguments, Criticism, and Minding Other People's Business","Gay, Roxane*",0063341468,9780063341463,0063341468,320        pp,4.05,"2,247","Oct 10, 2023","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 19, 2023","Oct 23, 2023","Oct 19, 2023",,Hardcover,view,/book/show/123195171-opinions
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The World I Fell Out Of,"Reid, Melanie",0008291403,9780008291402,B07H537W3C,401        pp,4.29,815,"Mar 07, 2019","Mar 07, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 16, 2023","Oct 19, 2023","Oct 16, 2023",,Kindle Edition,view,/book/show/41821609-the-world-i-fell-out-of
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conversations on Love,"Lunn, Natasha",0241448735,9780241448731,0241448735,320        pp,4.26,"25,902","Jul 08, 2021","Jul 15, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Oct 11, 2023","Oct 15, 2023","Oct 11, 2023",,Hardcover,view,/book/show/57028269-conversations-on-love
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ways of Being: Animals, Plants, Machines: The Search for a Planetary Intelligence","Bridle, James",0374601119,9780374601119,0374601119,384        pp,4.18,"1,238","Apr 07, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 29, 2023",,Hardcover,view,/book/show/58772732-ways-of-being
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soul of an Octopus,"Montgomery, Sy",1451697716,9781451697711,1451697716,261        pp,3.93,"48,786","May 12, 2015","May 12, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 29, 2023",,Hardcover,view,/book/show/22609485-the-soul-of-an-octopus
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Entangled Life: How Fungi Make Our Worlds, Change Our Minds & Shape Our Futures","Sheldrake, Merlin*",0525510311,9780525510314,0525510311,352        pp,4.36,"35,217","May 12, 2020","May 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 26, 2023",,Hardcover,view,/book/show/52668915-entangled-life
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"How Big Things Get Done: The Surprising Factors That Determine the Fate of Every Project, from Home Renovations to Space Exploration and Everything In Between","Flyvbjerg, Bent",0593239512,9780593239513,0593239512,304        pp,4.32,"3,568","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 26, 2023",,Hardcover,view,/book/show/61327449-how-big-things-get-done
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Future Won't Be Long,"Kobek, Jarett*",0735222487,9780735222489,0735222487,416        pp,3.54,434,"Aug 15, 2017","Aug 15, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2023",,Hardcover,view,/book/show/33155775-the-future-won-t-be-long
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Life as We Made It: How 50,000 Years of Human Innovation Refined―and Redefined―Nature","Shapiro, Beth",1541644182,9781541644182,1541644182,352        pp,4.00,308,"Oct 19, 2021","Oct 19, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really love well written and crafted books by scientists. Properly enjoyable and only very occasionally too taxing for a normie like me. Learnt so mI really love well written and crafted books by scientists. Properly enjoyable and only very occasionally too taxing for a normie like me. Learnt so much! The first half of the book is very much about ""natural"" evolution and the second half is part philosophy, part speculation on the possibilities ahead for using bio-technology to save the world. It gave me hope! It also gave me millions of anecdotes about bison...more",Notes are private!,0,1,1,"Sep 11, 2023","Sep 18, 2023","Sep 11, 2023",,Hardcover,view (with text),/book/show/57007977-life-as-we-made-it
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Teacher,"Gilroy, Beryl",0904521893,9780904521894,0904521893,unknown,4.17,401,"Jul 22, 1976","Jan 01, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Anyone taught by Beryl was truly blessed! What an amazing woman.,Notes are private!,0,3,1,"Oct 03, 2023","Oct 05, 2023","Sep 10, 2023",,Paperback,view (with text),/book/show/1698843.Black_Teacher
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strangers,"Yamada, Taichi",1932234039,9781932234039,1932234039,208        pp,3.64,"4,811",1987,"Jan 01, 2003",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Enjoyable ghost story, albeit a little predictable",Notes are private!,0,0,1,not set,"Sep 10, 2023","Sep 10, 2023",,Paperback,view (with text),/book/show/1347446.Strangers
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Dream House,"Machado, Carmen Maria*",1644450038,9781644450031,1644450038,251        pp,4.43,"124,499","Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 06, 2023",,Hardcover,view,/book/show/43317482-in-the-dream-house
