,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bam cooks the books ;-)'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ten Thousand Doors of January,"Harrow, Alix E.*",0316421995,9780316421997,0316421995,374        pp,4.03,"138,005","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/43521657-the-ten-thousand-doors-of-january
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Navola,"Bacigalupi, Paolo*",0593535057,9780593535059,0593535057,576        pp,4.00,25,"Jul 09, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Hardcover,view,/book/show/199927764-navola
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Secrets        (Detective Margaret Nolan #4),"Tracy, P.J.*",1250334365,9781250334367,B0CGRZCFBV,304        pp,4.25,8,"Aug 20, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Kindle Edition,view,/book/show/198111954-city-of-secrets
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out There Screaming: An Anthology of New Black Horror,"Peele, Jordan",059324379X,9780593243794,059324379X,387        pp,3.81,"6,014","Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/142392376-out-there-screaming
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Expectations,"Cunningham, Vinson",0593448235,9780593448236,0593448235,272        pp,3.49,356,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/139400711-great-expectations
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fat Chance Cookbook: More Than 100 Recipes Ready in Under 30 Minutes to Help You Lose the Sugar and the Weight,"Lustig, Robert H.",1410470962,9781410470966,1410470962,595        pp,3.84,236,"Dec 31, 2013","Jul 16, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is NOT a diet cookbook; it's a healthy cooking and eating cookbook. Many health experts and doctors give the advice to eat real unprocessed food,This is NOT a diet cookbook; it's a healthy cooking and eating cookbook. Many health experts and doctors give the advice to eat real unprocessed food, especially fruit, vegetables and fiber, cut out the sugar, salt and preservatives. This book gives you the tools and recipes to do that. *Notes from the trenches: This week I planned a menu around these recipes. A meal ready in 30 minutes? You can't beat that! All have been delicious so far:Breakfast:Whole-grain Yogurt Pancakes with Berry Compote (we didn't miss the maple syrup!)Lox and Egg Scramble Joe's Scramble with homemade 'sausage' + variationsLunch:Vegetarian Bean Chili (spicy!)Quick EnchiladasDinner:Quick Chicken Tikka Masala Salmon MilanesePork Loin with Apples and Onions (I'd make this again but cut way back on salt and pepper)Homemade sauces: Marinara sauceEnchilada sauce I like how Cindy has variations and suggestions to change each recipe a little to fit your own personal tastes. Some things I would change about this cookbook in a perfect world? Color photos with the recipes and a binding that would allow the book to lie flat when you are using it. At first, I checked out this book from the public library, then decided I definitely needed my own copy so I now own it. Recipe demonstration with Cindy Gershen and Dr Robert Lustig explaining the medical benefits of eating real: https://www.youtube.com/watch?v=3BTTd......more",Notes are private!,0,15,1,"Mar 21, 2024","Mar 23, 2024","Mar 21, 2024",,Hardcover,view (with text),/book/show/21819273-the-fat-chance-cookbook
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grace Among the Leavings,"Fisher, Beverly",0985794739,9780985794736,0985794739,140        pp,4.53,19,"Aug 13, 2013","Aug 13, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a remarkable piece of historical fiction set in rural Tennessee during and after the Civil War. The protagonist, little Grace Meadows, is tryiThis is a remarkable piece of historical fiction set in rural Tennessee during and after the Civil War. The protagonist, little Grace Meadows, is trying to understand the world around her by asking some pretty tough questions of the adults in her life, like 'Why did daddy go to war?' The focus of the story is on the effects of war on the soldiers, on the families, and on the citizens and should probably be part of every high school's curriculum. Note: One of our favorite things to do while on trips across the country is to visit an independent bookshop and ask for their recommendations for books written by local authors. I picked up an autographed copy of this novella on a trip to Nashville, TN, several years ag0, and am just getting around to reading it, so it qualifies for my Dusty-Bookshelf-Reads challenge for 2024 as well....more",Notes are private!,0,6,1,"Mar 29, 2024","Mar 29, 2024","Mar 21, 2024",,Paperback,view (with text),/book/show/18329990-grace-among-the-leavings
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dark Wives        (Vera Stanhope #11),"Cleeves, Ann*",1250836859,9781250836854,B0CQHL7KCH,unknown,4.42,59,"Aug 27, 2024","Aug 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Kindle Edition,view,/book/show/204135115-the-dark-wives
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storm We Made,"Chan, Vanessa*",1668015145,9781668015148,1668015145,352        pp,3.94,"8,768","Jan 02, 2024","Jan 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yes, there are thousands of stories about WWII experiences, but here's a different one from a debut author set in what was then Malaya. It's about theYes, there are thousands of stories about WWII experiences, but here's a different one from a debut author set in what was then Malaya. It's about the Alcantaras whose family thrives under British colonization in the 1930s but then the mother Cecily forms a relationship with a Japanese man that will have far reaching consequences for her family and the people of Malaya a decade later. The story is so well written and mesmerizing; the characters unforgettable. Highly recommend. ...more",Notes are private!,0,14,1,"Mar 18, 2024","Mar 20, 2024","Mar 18, 2024",,Hardcover,view (with text),/book/show/60211228-the-storm-we-made
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Disturbing the Dead        (A Rip Through Time, #3)","Armstrong, Kelley*",1250321298,9781250321299,B0CG4KDR8C,341        pp,4.40,135,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Kindle Edition,view,/book/show/197351405-disturbing-the-dead
