,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mathilde's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Terrier        (Beka Cooper, #1)","Pierce, Tamora*",037581468X,9780375814686,037581468X,581        pp,4.16,"68,155","Oct 24, 2006","Oct 24, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 22, 2024","Mar 31, 2024","Mar 22, 2024",,Hardcover,view,/book/show/13829.Terrier
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dealing with Dragons        (Enchanted Forest Chronicles, #1)","Wrede, Patricia C.*",015204566X,9780152045661,015204566X,240        pp,4.16,"90,635","Sep 18, 1990","Nov 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2024",,Paperback,view,/book/show/150739.Dealing_with_Dragons
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dragonflight        (Dragonriders of Pern, #1)","McCaffrey, Anne",0345484266,9780345484260,0345484266,299        pp,4.09,"137,163",Jul 1968,"Jul 26, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/61975.Dragonflight
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"First Test Graphic Novel        (Protector of the Small, #1)","Pierce, Tamora*",0307931579,9780307931573,0307931579,160        pp,4.43,67,unknown,"Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/199351587-first-test-graphic-novel
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cost of Free Land: Jews, Lakota, and an American Inheritance","Clarren, Rebecca",0593655079,9780593655078,0593655079,352        pp,4.49,327,"Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Hardcover,view,/book/show/75665932-the-cost-of-free-land
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bellies,"Dinan, Nicola",1335490884,9781335490889,1335490884,368        pp,4.11,"4,057","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/63028672-bellies
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ship of Magic        (Liveship Traders, #1)","Hobb, Robin*",000649885X,9780006498858,000649885X,880        pp,4.21,"83,881",Mar 1998,Mar 1999,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Mass Market Paperback,view,/book/show/45100.Ship_of_Magic
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Assassin's Apprentice        (Farseer Trilogy, #1)","Hobb, Robin*",055357339X,9780553573398,055357339X,435        pp,4.18,"326,382",May 1995,"Mar 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Mass Market Paperback,view,/book/show/77197.Assassin_s_Apprentice
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Stardust Thief        (The Sandsea Trilogy, #1)","Abdullah, Chelsea*",0316368768,9780316368766,0316368768,468        pp,4.02,"22,137","May 17, 2022","May 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/58950705-the-stardust-thief
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magician’s Daughter,"Parry, H.G.*",,,B0B38SS6P1,384        pp,4.01,"6,199","Feb 28, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Kindle Edition,view,/book/show/58349172-the-magician-s-daughter
