,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karina's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Green Road,"Enright, Anne",0393352803,9780393352801,0393352803,336        pp,3.50,"15,172","May 04, 2015","May 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2024",not set,"Apr 09, 2024",,Paperback,view,/book/show/26530354-the-green-road
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trespasses,"Kennedy, Louise",0593540891,9780593540893,0593540891,304        pp,4.02,"33,128","Apr 14, 2022","Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Hardcover,view,/book/show/60417483-trespasses
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Things We Hide from the Light        (Knockemout, #2)","Score, Lucy*",,9798886439045,B0BB64ZRMW,594        pp,4.07,"335,273","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/62022434-things-we-hide-from-the-light
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Things We Never Got Over        (Knockemout, #1)","Score, Lucy*",1945631848,9781945631849,B09PNM8FFN,572        pp,4.17,"760,506","Jan 12, 2022","Jan 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2024",,Kindle Edition,view,/book/show/60060431-things-we-never-got-over
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Principles: Life and Work,"Dalio, Ray*",1508243247,9781508243243,1508243247,16        pp,4.12,"57,761","Sep 19, 2017","Sep 19, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...vienas iš svarbiausių įgūdžių, kurį būtinai turime išsiugdyti - kreiptis pagalbos į žmones, kurie yra stiprūs tose srityse, kuriose pats esate sil<...vienas iš svarbiausių įgūdžių, kurį būtinai turime išsiugdyti - kreiptis pagalbos į žmones, kurie yra stiprūs tose srityse, kuriose pats esate silpnas. Šis įprotis yra tarsi apsaugos priemonės nuo neteisingų ir neapgalvotų žingsnių gyvenime...>...more",Notes are private!,0,8,1,"Mar 08, 2024","Apr 08, 2024","Mar 08, 2024",,Audio CD,view (with text),/book/show/34536488-principles
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ocean Sea,"Baricco, Alessandro",0375703950,9780375703959,0375703950,256        pp,4.09,"24,959",Mar 1993,"Jun 27, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/208631.Ocean_Sea
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,,401        pp,4.18,"845,302","Jul 05, 2022","Jul 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Hardcover,view,/book/show/58784475-tomorrow-and-tomorrow-and-tomorrow
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martin Eden,"London, Jack",,,,480        pp,4.47,"43,032",1908,"Feb 01, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...Šaunios merginos, žinoma, kiek galima būti šaunioms jų luome,- sunkiai dirbančios ir menkai uždirbančios, per daug išdidžios, kad parsiduotų už pi<...Šaunios merginos, žinoma, kiek galima būti šaunioms jų luome,- sunkiai dirbančios ir menkai uždirbančios, per daug išdidžios, kad parsiduotų už pinigus - jos karštligiškai ieškojo lašelio laimės gyvenimo dykumoje, žinodamos, kokia ateitis jų laukia- balansavimas tarp nesibaigiančių sunkaus darbo kančių ir juodos moralinio smukimo bedugnės, į kurią veda trumpesnis, bet geriau apmokamas kelias...>...more",Notes are private!,0,7,1,"Feb 03, 2024","Feb 14, 2024","Feb 03, 2024",,Paperback,view (with text),/book/show/929782.Martin_Eden
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atomic Habits: An Easy & Proven Way to Build Good Habits & Break Bad Ones,"Clear, James*",,,B07D23CFGR,319        pp,4.36,"869,989","Oct 16, 2018","Oct 16, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...kol nesąmoningų dalykų nepaversime sąmoningais, tol jie valdys mūsų gyvenimą, o mes juos vadinsime likimu...>",Notes are private!,0,8,1,"Jan 20, 2024","Feb 03, 2024","Jan 20, 2024",,Kindle Edition,view (with text),/book/show/40121378-atomic-habits
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Die Betrogene,"Link, Charlotte",3641132479,9783641132477,B00QR25PWS,641        pp,3.95,"3,424","Oct 08, 2015","Sep 02, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...kai aš šiąnakt čia gulėjau ir klausiausi dramos, vykstančios po mumis, atrodžiau sau kaip tie žmonės, apie kuriuos dažnai skaitome ir kurių nesupr<...kai aš šiąnakt čia gulėjau ir klausiausi dramos, vykstančios po mumis, atrodžiau sau kaip tie žmonės, apie kuriuos dažnai skaitome ir kurių nesuprantame: kaip kaimynai, kurie niekad nesikiša ir paskui nustebę žiūri, kai kas nors išties rimtai sužalojamas ar net nužudomas. Mes tokius žmones juk visuomet smerkiame...>...more",Notes are private!,0,4,1,"Jan 05, 2024","Jan 14, 2024","Jan 05, 2024",,Kindle Edition,view (with text),/book/show/24504002-die-betrogene
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Women,"Alcott, Louisa May",,,0451529308,449        pp,4.15,"2,233,448",1868,"Apr 06, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,<...man patinka stiprūs žodžiai jie duoda vilties kažką reikšti...>,Notes are private!,0,11,1,"Dec 27, 2023",Jan 2024,"Dec 27, 2023",,Paperback,view (with text),/book/show/1934.Little_Women
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0735224293,9780735224292,0735224293,338        pp,4.08,"1,175,318","Sep 12, 2017","Sep 12, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<...dažniausiai visi nusipelno dar vienos galimybės. Mes visi kartais padarome ką nors, dėl ko paskui tenka gailėtis. Tiesiog tie dalykai lieka su tav<...dažniausiai visi nusipelno dar vienos galimybės. Mes visi kartais padarome ką nors, dėl ko paskui tenka gailėtis. Tiesiog tie dalykai lieka su tavimi visam laikui...> ... <... Jis jautėsi taip, tarsi būtų nėręs į gilų ežerą ir pamatęs, kad tai tik negili, kelius siekianti bala. Ir ka gi tu tada darai? Na, atsistoji. Nusivalai murzinus kelius ir ištrauki kojas iš purvo. O kitus kartus būni atsargesnis. Ir jau žinai, kad pasaulis mažesnis, nei tikėjaisi...>...more",Notes are private!,0,6,1,"Dec 20, 2023","Dec 27, 2023","Dec 20, 2023",,Hardcover,view (with text),/book/show/34273236-little-fires-everywhere
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 48 Laws of Power,"Greene, Robert*",0140280197,9780140280197,0140280197,452        pp,4.13,"154,596",1998,"Sep 01, 2000",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"<... vakare Foko jautėsi pasaulio valdovu, vakarui pasibaigus jis buvo bedugnėje...>",Notes are private!,0,4,1,"Dec 16, 2023","Dec 20, 2023","Dec 16, 2023",,Paperback,view (with text),/book/show/1303.The_48_Laws_of_Power
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,John D. Rockefeller: The Autobiography of an Oil Titan and Philanthropist,"Rockefeller, John D.",154109574X,9781541095748,154109574X,80        pp,3.77,418,"Jan 01, 1909","Dec 14, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,<...prieš ketinant su kuo nors tartis būtina kiekvienos pusės teises ir įsipareigojimus išmatuoti ta pačia liniuote...>,Notes are private!,0,2,1,"Dec 13, 2023","Dec 16, 2023","Dec 13, 2023",,Paperback,view (with text),/book/show/33587021-john-d-rockefeller
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zero Fail: The Rise and Fall of the Secret Service,"Leonnig, Carol",0399589015,9780399589010,0399589015,560        pp,4.24,"8,656","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Hardcover,view,/book/show/55057586-zero-fail
