,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Rachel's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"House of Shadows        (Ghosts and Shadows, #1)","Coates, Darcy*",1728221781,9781728221786,1728221781,268        pp,4.02,"6,711","Oct 15, 2015","May 05, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/51611013-house-of-shadows
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Voices in the Snow        (Black Winter, #1)","Coates, Darcy*",1728220181,9781728220185,1728220181,342        pp,3.89,"7,727","Nov 18, 2019","Jan 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/51610977-voices-in-the-snow
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From Below,"Coates, Darcy*",1728220238,9781728220239,1728220238,469        pp,4.04,"8,883","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/58830202-from-below
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sleeping Giants,"Denfeld, Rene*",,,B09Q3FM71K,300        pp,4.13,323,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/48902605-sleeping-giants
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chlorophobia: An Eco-Horror Anthology,"Ward, A.R.*",1919638792,9781919638799,B09HHN57NM,223        pp,3.77,93,"Nov 24, 2021","Nov 24, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Kindle Edition,view,/book/show/59470847-chlorophobia
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on an Execution,"Kukafka, Danya*",1474625967,9781474625968,1474625967,309        pp,4.08,"88,954","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Paperback,view,/book/show/59527402-notes-on-an-execution
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Found You,"Jewell, Lisa*",1501154591,9781501154591,1501154591,352        pp,3.96,"128,287","Jun 30, 2016","Apr 25, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A solid 3.5 Stars again for Lisa Jewell!I liked this. It has a very atmospheric seaside town setting, and it was so cozy but mysterious at the same tiA solid 3.5 Stars again for Lisa Jewell!I liked this. It has a very atmospheric seaside town setting, and it was so cozy but mysterious at the same time. It kept me reading and reading.I can’t say Alice’s choices made me happy. All the parents in this book were nuts, letting their children go off with strangers or inviting strangers into their homes. Honestly, wtf?But the characters grew on me. Lisa Jewell has a lot more skill as than many other mystery novelists. Her characters feel real, her stories are heartwarming and heartbreaking, and she knows how to create suspense. ...more",Notes are private!,0,4,1,"Mar 29, 2024","Apr 02, 2024","Mar 29, 2024",,Hardcover,view (with text),/book/show/30753651-i-found-you
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Summer She Went Missing,"Ichaso, Chelsea*",1728251095,9781728251097,1728251095,384        pp,3.74,852,Mar 2024,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/157020084-the-summer-she-went-missing
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Haunting of Maddy Clare,"St. James, Simone*",0593441354,9780593441350,0593441354,318        pp,3.86,"25,499","Mar 06, 2012","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/60097442-the-haunting-of-maddy-clare
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Side of Midnight,"St. James, Simone*",0451419499,9780451419491,0451419499,319        pp,3.86,"7,854","Apr 07, 2015","Apr 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/22467404-the-other-side-of-midnight
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghost 19,"St. James, Simone*",0593547705,,B0B5YYY7QF,80        pp,3.50,"6,839","Oct 04, 2022","Jan 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/61432642-ghost-19
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder Road,"St. James, Simone*",0593200381,9780593200384,,341        pp,3.82,"12,057","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/196614815-murder-road
