,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bookmarks Magazine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under the Sun: The Letters of Bruce Chatwin,"Chatwin, Bruce",0670022462,9780670022465,0670022462,560        pp,3.80,246,2010,"Feb 17, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“The value in a collection of letters must lie in bringing us closer to the writer,” argued the Boston Globe, and therein lay the critics’ chief compl“The value in a collection of letters must lie in bringing us closer to the writer,” argued the Boston Globe, and therein lay the critics’ chief complaint: though Chatwin infuses these chatty epistles with his charm and sharp wit, he remains elusive. Without the editors’ copious annotations, in fact, readers would be completely adrift in a sea of requests for clean shirts and money. Elizabeth’s thinly veiled hostility and the book’s unnecessary length also drew some critics’ ire. However, the New York Times and Wall Street Journal did detect a progression along professional and personal lines—enough to enhance their understanding of him. Nevertheless, Under the Sun will probably only appeal to fans and those with an academic interest in Chatwin. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,3,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/9192139-under-the-sun
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Prayer No. 2: A Writer's Journey Home,"Richard, Mark",038551302X,9780385513029,038551302X,224        pp,3.79,944,"Jan 01, 2011","Feb 15, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Although the critics cited some wonderfully poignant moments and gorgeous prose, their praise was eclipsed by the debate over Richard’s choice to tellAlthough the critics cited some wonderfully poignant moments and gorgeous prose, their praise was eclipsed by the debate over Richard’s choice to tell his story in the second person. “It creates a sense of life lived without volition,” protested the Minneapolis Star Tribune. “‘You get fired from your bartending job.’ ‘You wreck your car.’” The complete lack of “I” also impedes commentary and interpretation, so the events Richard relates must stand alone. Some critics considered this unusual approach a unique way of heightening the reader’s sense of isolation and urgency, while others objected to its inaccessibility. For better or worse, House of Prayer No. 2 is a powerful tribute “to the power of words (and the Word)” (New York Times Book Review) that simultaneously upends the genre’s conventions. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8806553-house-of-prayer-no-2
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Bill Donovan: The Spymaster Who Created the OSS and Modern American Espionage,"Waller, Douglas C.",1416567445,9781416567448,1416567445,480        pp,3.75,"1,330",2011,"Feb 08, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Readers were generally satisfied by Waller’s take on “Wild Bill,” especially since (according to most critics) no adequate biography of the man was prReaders were generally satisfied by Waller’s take on “Wild Bill,” especially since (according to most critics) no adequate biography of the man was previously available. But the positive s often came with caveats. For example, several ers noted that the book should be read not as a complete history of the Office of Strategic Services but as a biography of a fascinating, even great, man. Other ers asked what Donovan’s life means in the context of contemporary struggles over espionage and intelligence. Like Donovan, then, the book offers plenty of heroism and excitement, but it also leaves many unanswered questions. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,1,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8920565-wild-bill-donovan
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Long Road Home: The Aftermath of the Second World War,"Shephard, Ben",0712600590,9780712600590,0712600590,496        pp,3.90,232,"Apr 01, 2010","Jan 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The most lauded aspect of Shephard’s book is his ability to put aside historical hindsight and to see postwar scenarios the way the Allies and others The most lauded aspect of Shephard’s book is his ability to put aside historical hindsight and to see postwar scenarios the way the Allies and others saw them. For example, in the 1940s, the world had not yet grasped the extent of the Holocaust—the word itself had not even come into common usage—so the Jews of Europe were considered part of the “displaced people” problem. Critics also valued the way Shephard tells the story of those refugees through extensive archival research. Overall, ers were impressed by Shephard’s work and were glad to see a historian cover this poorly understood aspect of the war. One criticism worth noting: several critics pointed out that the book should be subtitled “The Aftermath of the Second World War in Europe,” since the war’s considerable impact elsewhere is not considered in detail. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,4,1,not set,not set,"Apr 06, 2011",,Paperback,view (with text),/book/show/8865282-the-long-road-home
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Quiet World: Saving Alaska's Wilderness Kingdom, 1879-1960","Brinkley, Douglas",0062005960,9780062005960,0062005960,592        pp,4.04,238,"Jan 18, 2011","Jan 18, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Douglas Brinkley has called his planned Wilderness Cycle his “lifework.” In general, critics seemed to respect the scope of what Brinkley is trying toDouglas Brinkley has called his planned Wilderness Cycle his “lifework.” In general, critics seemed to respect the scope of what Brinkley is trying to do, but they were more likely to praise The Quiet World as an important work than one that deeply moved them. A few critics faulted the work for spending too much time on the biographies of various environmental figures and not enough time on the land itself. A couple also thought that the work, despite its lush prose, might be too academic for the casual reader. But overall, ers felt that The Quiet World clearly demonstrates the role Alaska has played in the environmental movement and the country as a whole. It is surely a book for those interested in conservation and environmentalism. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,3,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8584942-the-quiet-world
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Foremost Good Fortune,"Conley, Susan*",0307594068,9780307594068,0307594068,288        pp,3.65,"1,037","Feb 08, 2011","Feb 08, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"In general, critics enjoyed Conley’s memoir about coping with the alternating difficulties of children, China, and cancer. They were impressed by the In general, critics enjoyed Conley’s memoir about coping with the alternating difficulties of children, China, and cancer. They were impressed by the work’s honesty (particularly about Conley’s disease), the immediacy of its description, and its compelling prose. While sometimes chafing at the limits of the work’s genre—memoirs about motherhood, cancer, and the expat experience abound, though the work does not encompass all of these subjects simultaneously—in the end ers found The Foremost Good Fortune an original and emotionally compelling story. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/9105432-the-foremost-good-fortune
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moonwalking with Einstein: The Art and Science of Remembering Everything,"Foer, Joshua*",159420229X,9781594202292,159420229X,307        pp,3.88,"89,420","Mar 03, 2011","Mar 03, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While all critics seemed to enjoy Moonwalking with Einstein, only one, the New York Times’s Michiko Kakutani, drew attention to the quality of Foer’s While all critics seemed to enjoy Moonwalking with Einstein, only one, the New York Times’s Michiko Kakutani, drew attention to the quality of Foer’s style and compared Foer to Oliver Sacks—instant credibility for any science writer. Many of the ers, however, are professional psychologists or other experts whose enthusiasm was somewhat tempered by skepticism about some of Foer’s ideas on memory. Yet all the critics paid this book the most appropriate of compliments for its subject matter: they called the book “memorable”—especially the images in Foer’s formidable “memory palace.” Such a compliment is a sure recommendation for fans of writers like Malcolm Gladwell or Mary Roach, who approach scientific findings with grace, humor, and an eye on how readers can apply them to their own lives. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,1,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/6346975-moonwalking-with-einstein
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Magnetic North: Notes from the Arctic Circle,"Wheeler, Sara",0374200130,9780374200138,0374200130,336        pp,3.74,458,2009,"Feb 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wheeler serves as an engaging and insightful guide through the countries that surge up past the 66th parallel. Reviewers praised her storytelling skilWheeler serves as an engaging and insightful guide through the countries that surge up past the 66th parallel. Reviewers praised her storytelling skills, her nose for obscure and fascinating facts, and her refusal to romanticize the region’s indigenous cultures; and, surprisingly, none objected to her evidence for climate change. The Boston Globe occasionally found the flood of information overwhelming, and others wished that Wheeler had spent more time in the field and less in the library, but the New York Times Book Review labeled these complaints “quibbles,” maintaining that “Wheeler’s sense of place, science, self and story are exceptional.” Stuffed with facts and startling revelations, The Magnetic North isn’t just for armchair travelers but for anyone concerned about the future of our planet. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,0,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/9874512-the-magnetic-north
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Widow's Story,"Oates, Joyce Carol",0062015532,9780062015532,0062015532,432        pp,3.74,"4,035","Feb 15, 2011","Feb 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Adding her own distinct, self-assured voice to the recent, post–Magical Thinking wave of bereavement memoirs, the normally reserved and private Oates Adding her own distinct, self-assured voice to the recent, post–Magical Thinking wave of bereavement memoirs, the normally reserved and private Oates openly reveals the anguish she suffered following the death of her beloved husband. Perhaps unsurprisingly, this powerful account bears many of the hallmarks of Oates’s fiction, and the talented author lays herself bare with the same intensity she exercises in dissecting her characters. However, the Wall Street Journal argued that such works are “artistically and emotionally effective in inverse proportion to their length,” and several agreed that A Widow’s Story, at more than 400 pages, is too long and weighed down by minutiae to maintain the emotional force for which the genre is celebrated. Nevertheless, readers will find it impossible to remain unaffected. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,1,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8703772-a-widow-s-story
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Townie,"Dubus III, Andre",0393064662,9781203026219,0393064662,387        pp,3.78,"8,028",2011,"Feb 28, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Critics felt that Dubus mainly lands his punches in this story of finding oneself in art instead of violence. As several ers noted, he focuses oCritics felt that Dubus mainly lands his punches in this story of finding oneself in art instead of violence. As several ers noted, he focuses on the aspects of the time and place in which he grew up that are most relevant for his spiritual development, rather than telling a clichéd story of a tough, poor childhood. Some critics were a little bored by the pugilistic middle part of the book; others felt that it became a little too sentimental near the end. But overall they found themselves rooting for Dubus in his battles with his father and with himself. This is an excerpt from a  published in Bookmarks magazine....more",Notes are private!,0,2,1,not set,not set,"Apr 06, 2011",,Hardcover,view (with text),/book/show/8248617-townie
