,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lisa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In This House of Brede,"Godden, Rumer",1952826470,9781952826474,1952826470,390        pp,4.35,"6,105",1969,"Jan 15, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 11, 2024","Mar 31, 2024","Mar 11, 2024",,Paperback,view,/book/show/56948061-in-this-house-of-brede
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women Artists in Midcentury America: A History in Ten Exhibitions,"Belasco, Daniel",178914843X,9781789148435,178914843X,320        pp,4.00,1,unknown,"Apr 26, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 16, 2024","Mar 10, 2024","Feb 18, 2024",,Hardcover,view,/book/show/200176170-women-artists-in-midcentury-america
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Ending,"Zuravleff, Mary Kay*",1949467996,9781949467994,1949467996,320        pp,4.31,183,unknown,"Jun 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2024","Feb 16, 2024","Jan 30, 2024",,Hardcover,view,/book/show/119414836-american-ending
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drinking from Graveyard Wells: Stories,"Ndlovu, Yvette Lisa",0813196973,9780813196978,0813196973,160        pp,4.42,240,"Mar 07, 2023","Mar 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 21, 2024","Jan 28, 2024","Jan 23, 2024",,Hardcover,view,/book/show/60789179-drinking-from-graveyard-wells
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Touching the Art,"Sycamore, Mattilda Bernstein*",1593767358,9781593767358,1593767358,256        pp,4.49,47,unknown,"Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2024","Jan 21, 2024","Jan 07, 2024",,Hardcover,view,/book/show/123034165-touching-the-art
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Possibilities,"Goldstein-Love, Yael*",0593446488,9780593446485,,304        pp,3.50,881,"Jul 25, 2023","Jul 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 15, 2023","Dec 24, 2023","Dec 16, 2023",,Hardcover,view,/book/show/62049709-the-possibilities
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burnout: The Secret to Unlocking the Stress Cycle,"Nagoski, Emily*",198481706X,9781984817068,198481706X,277        pp,3.96,"52,446","Mar 14, 2019","Mar 26, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 27, 2023","Dec 10, 2023","Nov 27, 2023",,Hardcover,view,/book/show/42397849-burnout
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Golden Notebook,"Lessing, Doris",,,B00C4TK33Y,593        pp,3.77,"23,018",1962,"May 14, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I need to sit with this one a bit longer before ing, I think.",Notes are private!,1,1,1,"Nov 05, 2023","Jan 06, 2024","Nov 05, 2023",,Kindle Edition,view (with text),/book/show/18820900-the-golden-notebook
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light in Gaza: Writings Born of Fire,"Abusalim, Jehad",164259699X,9781642596991,164259699X,279        pp,4.72,"1,103","Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Paperback,view,/book/show/60746110-light-in-gaza
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,America Fantastica,"O’Brien, Tim",0063318504,9780063318502,0063318504,464        pp,3.47,"2,744","Oct 24, 2023","Oct 24, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 14, 2023","Nov 07, 2023","Oct 14, 2023",,Hardcover,view,/book/show/90588971-america-fantastica
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drive Your Plow Over the Bones of the Dead,"Tokarczuk, Olga",,,B07KNV4RC3,275        pp,3.96,"100,308","Nov 25, 2009","Aug 13, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 11, 2023","Oct 23, 2023","Oct 12, 2023",,Kindle Edition,view,/book/show/42946966-drive-your-plow-over-the-bones-of-the-dead
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tiny Extravaganzas,"Mehta, Diane*",,9798987924112,B0C47Y37QS,136        pp,4.67,6,unknown,"Oct 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lovely—multilayered and complex, but always with a way in to the heart of each poem. Musings on on interacting with art/dance/music, on loss, on age, Lovely—multilayered and complex, but always with a way in to the heart of each poem. Musings on on interacting with art/dance/music, on loss, on age, on parenting an almost-grown child—sophisticated, knockout imagery, lurking empathy, and inventive, fun-to-read-out-loud language. ...more",Notes are private!,0,0,1,"Sep 21, 2023","Sep 27, 2023","Sep 24, 2023",,Paperback,view (with text),/book/show/148655593-tiny-extravaganzas
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Witness: Stories,"Brinkley, Jamel",0374607036,9780374607036,0374607036,240        pp,3.84,846,"Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 22, 2023","Apr 12, 2024","Sep 16, 2023",,Hardcover,view,/book/show/62039185-witness
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hearing Trumpet,"Carrington, Leonora",1878972197,9781878972194,1878972197,199        pp,4.00,"8,236",1974,"Feb 02, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 18, 2023","Aug 21, 2023","Aug 19, 2023",,Paperback,view,/book/show/46987.The_Hearing_Trumpet
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Work Won't Love You Back: How Devotion to Our Jobs Keeps Us Exploited, Exhausted, and Alone","Jaffe, Sarah*",1549162764,9781549162763,1549162764,unknown,3.99,"4,549","Jan 26, 2021","Jan 26, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 28, 2023","Oct 10, 2023","Jul 28, 2023",,Audio CD,view,/book/show/56299462-work-won-t-love-you-back
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,North Woods,"Mason, Daniel*",0593597036,9780593597033,0593597036,372        pp,4.18,"27,257","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 23, 2023",not set,"Jul 23, 2023",,Hardcover,view,/book/show/71872930-north-woods
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shuggie Bain,"Stuart, Douglas*",0802148042,9780802148049,0802148042,430        pp,4.31,"151,882","Feb 11, 2020","Feb 11, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 06, 2023","Jul 23, 2023","Jul 06, 2023",,Hardcover,view,/book/show/52741293-shuggie-bain
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,922","Feb 21, 2023","Feb 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm a New England boarding school survivor and have been reading a lot of nonfiction this year, so a boarding school cold-case shaggy-dog murder mysteI'm a New England boarding school survivor and have been reading a lot of nonfiction this year, so a boarding school cold-case shaggy-dog murder mystery with some things to say about misogyny and racism was exactly the right book, and I gobbled it up. If the above sounds like your thing then it probably is... it most definitely was mine. Fun, interesting, kept me engrossed....more",Notes are private!,0,1,1,"Jun 24, 2023","Jul 04, 2023","Jun 30, 2023",,Hardcover,view (with text),/book/show/61053829-i-have-some-questions-for-you
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lolly Willowes,"Warner, Sylvia Townsend",0940322161,9780940322165,0940322161,222        pp,3.71,"9,554",1926,1999,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wonderful writing and a great 1926 feminist take on witches, the devil, a woman's life of drudgery and obscurity—not outdated in the least, unfortunatWonderful writing and a great 1926 feminist take on witches, the devil, a woman's life of drudgery and obscurity—not outdated in the least, unfortunately, but we're fortunate to have this fabulous novel....more",Notes are private!,0,0,1,"Jun 12, 2023","Jun 23, 2023","Jun 18, 2023",,Paperback,view (with text),/book/show/937105.Lolly_Willowes
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bathysphere Book: Effects of the Luminous Ocean Depths,"Fox, Brad*",1662601905,9781662601903,,336        pp,3.74,214,"Mar 16, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Entirely unexpected, but a great ride. Rather than a straight-up history, this is an account of William Beebe and his pioneering undersea exploration Entirely unexpected, but a great ride. Rather than a straight-up history, this is an account of William Beebe and his pioneering undersea exploration and all its adjacencies—scientific, cultural, political, and philosophical. This last context runs away with all the narrative in a wonderful and weird way, using Beebe's own accounts to extrapolate what he might have been thinking about and wondering as he set himself in the greater scheme of early 20th century knowledge. It's really like nothing else I've read, I think, and the reproductions of watercolors of deep marine life—most of which were done from Beebe's verbal descriptions—are just gorgeous.Apropos of nothing, this is possibly the heaviest book for its size I've ever encountered. It's the thick, glossy pages, but it surprised me every time I picked it up....more",Notes are private!,0,1,1,"May 23, 2023","Jun 10, 2023","Jun 18, 2023",,Hardcover,view (with text),/book/show/63257731-the-bathysphere-book
