,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,David's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prelude to Bruise,"Jones, Saeed*",1566893747,9781566893749,1566893747,103        pp,4.25,"2,521","Aug 18, 2014","Sep 09, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2016",,Paperback,view,/book/show/20702539-prelude-to-bruise
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Saints of the Shadow Bible        (Inspector Rebus, #19)","Rankin, Ian*",0316224553,9780316224550,0316224553,389        pp,4.14,"13,288",2013,"Jan 14, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a superior police procedural, with the entirely reproachable, somewhat demoted Inspector Rebus at the center. It is the nineteenth in this serThis is a superior police procedural, with the entirely reproachable, somewhat demoted Inspector Rebus at the center. It is the nineteenth in this series, and not a word fails in its entirety....more",Notes are private!,1,3,1,not set,"Dec 26, 2015","Dec 26, 2015",,Hardcover,view (with text),/book/show/17899384-saints-of-the-shadow-bible
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Property,"Modan, Rutu",1770461159,9781770461154,1770461159,222        pp,3.94,"5,362",2013,"May 14, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good graphic novel on a fraught topic that has lived for decades, the fate of Jewish-owned properties lost in World War II, here in Warsaw. But thisA good graphic novel on a fraught topic that has lived for decades, the fate of Jewish-owned properties lost in World War II, here in Warsaw. But this is also a narrative of the present, about resolving the unfinished parts of long lives and transmitting the continuous truths that history covers over. I find that graphic novels do not handle the subtle experiences of memory very well, and do not easily communicate a reflective or conflicted state of mind. That was apparent here; but it is a book that speaks responsibly and thoughtfully to the present. Any conversation about it -- especially between generations -- will bring these tensions to the table....more",Notes are private!,0,1,1,not set,"Dec 14, 2015","Dec 15, 2015",,Hardcover,view (with text),/book/show/16059656-the-property
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Killing Kind        (Michael Hendricks #1),"Holm, Chris*",0316259535,9780316259538,0316259535,320        pp,3.73,"1,630","Aug 27, 2015","Sep 15, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Could this be the beginning of a new genre? Not simply Hit Person Lit, but Hit-Hit Lit? Here we have a vengeant hitter who hits only other hit personsCould this be the beginning of a new genre? Not simply Hit Person Lit, but Hit-Hit Lit? Here we have a vengeant hitter who hits only other hit persons. Apparently there is enough work for everyone. Our protagonist, Michael Hendricks, was prepared for this ruthless life by a parentless childhood in group homes and extensive special ops practice in Afghanistan. He emerges from an IED explosion and crawls away, but is listed as dead by the army. This permits a super heroic invisibility for this natural killer, but it also lays a heavy burden of survivor's guilt on his shoulders. He allows his beloved girl to believe him dead, while he seeks expiation by nurturing his deserted soul. It's a well-conceived but implausible premise, made compelling by rapid and well-characterized choices and situations. I tend to admire antiheroic central figures, fearless actors who do not terrorize themselves. Here is a killer of killers who has disavowed himself but not his conscience....more",Notes are private!,0,1,1,not set,"Dec 12, 2015","Dec 15, 2015",,Hardcover,view (with text),/book/show/24396847-the-killing-kind
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Suspect        (Scott James & Maggie, #1)","Crais, Robert",0399161481,9780399161483,0399161481,312        pp,4.18,"24,338","Jan 22, 2013","Jan 22, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had stopped reading Crais for a few years, finding Elvis Cole and Joe Pike to be disengaging and unoriginal. My return in this case was very satisfyI had stopped reading Crais for a few years, finding Elvis Cole and Joe Pike to be disengaging and unoriginal. My return in this case was very satisfying, in part because it is clear that Crais has worked at the details of the principal relationship in the book, the backstories of each character, and the particular complexity each investigative partner brings to the case. These elements of the narrative are authentic and enriching. It makes me want more of this kind. So congratulations to Crais for this fine work, and I am back for the next one....more",Notes are private!,0,2,1,not set,"Nov 20, 2015","Dec 05, 2015",,Hardcover,view (with text),/book/show/15755201-suspect
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Crossing        (Harry Bosch, #18; Harry Bosch Universe, #28)","Connelly, Michael*",0316225886,9780316225885,0316225886,388        pp,4.27,"62,579","Nov 03, 2015","Nov 03, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Harry Bosch is now forcibly retired from the LAPD and he is not happy about it, feeling the conflict of being an outsider with all of the instincts anHarry Bosch is now forcibly retired from the LAPD and he is not happy about it, feeling the conflict of being an outsider with all of the instincts and knowledge of decades on the force. At one point late in the book, a bad cop holds a gun on him and says, ""Retired and relentless are two things that don't mesh together very well."" In the realm of the police procedural narrative, Harry is a relentless proceduralist, a man who knows investigative technique, the weight of meticulous documentation, and the value of constantly returning to the text, in this case a police murder book. But without direct access to the case, the forensics, and the steady interaction with a provocative partner, Harry is at risk of missing the connections he rightly understands to be embedded in the evidence. So, reluctantly working as a private investigator for his half-brother Mickey Haller, Harry seethes with impatience and lost identity. He bends the truth and presents himself as a semi-legitimate cop. He hides from most of his former colleagues. He knows that working for a defendant betrays decades of working for the other side; and yet, because Harry serves justice before anything else -- everybody matters or nobody matters -- he accedes to his circumstances and proceeds. I think we must foresee a future for Harry in private work, and hope that he continues with the independent life it will provide. He is the living presence of procedure and he deserves a long time outside the constraints of the department....more",Notes are private!,0,2,1,not set,"Nov 30, 2015","Dec 05, 2015",,Hardcover,view (with text),/book/show/25010281-the-crossing
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ratlines,"Neville, Stuart*",1616952040,9781616952044,1616952040,354        pp,3.71,"1,916","Jan 01, 2013","Jan 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm finding great pleasure in Mr. Neville's work. This historic setting was particularly engaging, reminding me that when I was eighteen, when this fiI'm finding great pleasure in Mr. Neville's work. This historic setting was particularly engaging, reminding me that when I was eighteen, when this fiction is happening, we were just that many years away from WWII. How many hatreds and grudges, how many escaped war criminals, how many compromised political survivors must there have been as I was barely grown. For any reader who shares my pleasure in the Reacher books by Lee Child, and the Matthew Troy novels by John Lawton, ought to look for all of Neville's crime books....more",Notes are private!,0,1,1,not set,not set,"Oct 07, 2015",,Hardcover,view (with text),/book/show/13584309-ratlines
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sandmannen        (Joona Linna, #4)","Kepler, Lars*",9100130168,9789100130169,9100130168,518        pp,4.25,"27,704",2012,"Nov 05, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Sandman -- a dread force who will steal you in your sleep -- is the superhuman serial killer at the center of this large superior, complex and impThe Sandman -- a dread force who will steal you in your sleep -- is the superhuman serial killer at the center of this large superior, complex and improbable-yet-oh-so-irresistible thriller. Makes no difference that he is locked securely away. Those who know him, like Detective Joona Linna, understand his unnatural skills. He is no overdone drama aesthete like Hannibal. He can keep a grudge for a long time, and the extent of the suffering he causes -- well, that is his art. I could not read this highly readable book fast enough, so now I need another Scandinavian fix. Kepler is reputed to be the heir to Larsson, and the reputation fits....more",Notes are private!,0,0,1,not set,"Sep 27, 2015","Sep 27, 2015",,Hardcover,view (with text),/book/show/16072751-sandmannen
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dragonfish,"Tran, Vu*",0393077802,9780393077803,0393077802,304        pp,3.25,"2,384","Jul 27, 2015","Aug 03, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Immigrant lives, millions from everywhere, are taken for granted, disregarded, and misunderstood, often made invisible to the nativist sensibility, anImmigrant lives, millions from everywhere, are taken for granted, disregarded, and misunderstood, often made invisible to the nativist sensibility, and made simple by the simplistic politics of our time. When we read a novel like this one -- coupled as it is to riveting and saddening news of forced emigration and brutal response -- some of that is undone. We gather some small idea of the complexity of displaced lives through the author's authority. Vu Tranh, born in Vietnam and raised in Oklahoma, certainly has a full view of what is too often hidden. The form he has chosen for this telling is somewhat flawed, but the underlying narratives ring true.The book seems to be about crime, but then it seems to be about love, and sometimes it seems to be about rescue. But it isn't about any of these. The protagonist is a policeman, but not a very smart or appealing one. His opponents are shady Vietnamese gamblers and heavy-handed minor gangsters. And the object of his attention is the Vietnamese woman he has lost to a stereotypical, patriarchal semi-mobster. She is a problem without limits, erratic, opaque, haunted, inscrutable (sorry to suggest a stereotype), and seemingly without reality. We never meet her, but she is everywhere in the Las Vegas wind. We sense that she is living with ghosts.What we do know about her, however, comes to us through lengthy and uninvolving diary entries that chronicle her escape from Vietnam, the death of her first husband, an alliance with a fellow escapee (the brutal gambler she turns to ultimately), and her unexpected daughter Mai, for whom the diary is intended. Consequently (though her life is desperate) she remains merely a fiction within a fiction to the reader, not a person we can grasp through dialogue, interaction, or a semblance of living emotion. We know she is not a very predictable person, that her marriage to the policeman was largely enigmatic and incompatible, and we know that she left him with a sense of having failed to save her from herself. Still, it is difficult to care.This novel seems like a crime novel, but it fails to do what fine crime literature does: we have no way to see beyond the situation to some sort of coherent resolution that satisfies and informs. While the author has much honest experience to work with, the diaries are not illuminating to read because they distract the reader even farther from the currently absent wife. To be fair, they chronicle authentic desperation, disappearances, and threats to existence, and in them the duress, isolation, haunting, and despair of immigrant lives are made fairly clear. (And so, three stars.) Yet the hidden psychological experience many people do not wish to see remains intact. The author might have told a less opaque and more moving story had the woman at its center been given an actual presence, and a real voice, in the novel. As it is, she becomes to us merely a ghost of herself....more",Notes are private!,0,0,1,not set,"Sep 07, 2015","Sep 18, 2015",,Hardcover,view (with text),/book/show/23316485-dragonfish
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dept. of Speculation,"Offill, Jenny*",0385350813,9780385350815,0385350813,179        pp,3.76,"54,478","Jan 28, 2014","Jan 28, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm expecting Jenny Offill to be a definitive voice in her generation, if fearlessness and precision are worthy indicators. Her central character hereI'm expecting Jenny Offill to be a definitive voice in her generation, if fearlessness and precision are worthy indicators. Her central character here is ragingly intelligent and easily distracted, with one exception: she is devoted beyond words to her baby. (No -- actually she has plenty of words for the many fragments of her life. The problem is that all those words seem to arrive at once, keeping a reader sorting.). A fine voice in this book, and it's flawless....more",Notes are private!,0,0,1,not set,"Sep 10, 2015","Sep 15, 2015",,Hardcover,view (with text),/book/show/17402288-dept-of-speculation
