,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Amy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Body: A Guide for Occupants,"Bryson, Bill",0385539304,9780385539302,0385539304,450        pp,4.32,"82,648","Oct 15, 2019","Oct 15, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/43582376-the-body
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hawaii,"Michener, James A.",0375760377,9780375760372,0375760377,937        pp,4.21,"78,683","Nov 12, 1959","Jul 09, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/12658.Hawaii
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prep,"Sittenfeld, Curtis*",081297235X,9780812972351,,420        pp,3.43,"69,758","Jan 17, 2005","Nov 22, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Paperback,view,/book/show/9844.Prep
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Wife,"Sittenfeld, Curtis*",1400064759,9781400064755,1400064759,555        pp,3.77,"60,555","Sep 02, 2008","Sep 02, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/2807199-american-wife
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",0399590943,9780399590948,0399590943,309        pp,3.66,"176,358","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/62628727-romantic-comedy
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rodham,"Sittenfeld, Curtis*",0399590919,9780399590917,0399590919,417        pp,3.83,"44,352","May 19, 2020","May 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/50253429-rodham
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Somehow: Thoughts on Love,"Lamott, Anne*",0593714415,9780593714416,0593714415,208        pp,4.13,62,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/186872335-somehow
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Perennials for Every Purpose: Choose the Right Plants for Your Conditions, Your Garden, and Your Taste","Hodgson, Larry",0875968937,9780875968933,0875968937,512        pp,4.15,81,2000,"Mar 05, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Paperback,view,/book/show/713508.Perennials_for_Every_Purpose
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birdy,"Wharton, William",0679734120,9780679734123,0679734120,320        pp,4.03,"7,437","Dec 12, 1978","Feb 04, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Paperback,view,/book/show/592191.Birdy
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vegetarian Cooking for Everyone,"Madison, Deborah",0767900146,9780767900140,0767900146,752        pp,3.83,"17,192",1997,"Oct 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Hardcover,view,/book/show/141051.Vegetarian_Cooking_for_Everyone
