,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Charlene's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wide Wide Sea: Imperial Ambition, First Contact and the Fateful Final Voyage of Captain James Cook","Sides, Hampton",0385544766,9780385544764,0385544766,432        pp,4.47,36,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 07, 2024",,Hardcover,view,/book/show/191746386-the-wide-wide-sea
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Madam Secretary,"Dray, Stephanie*",0593437063,9780593437063,B0C7TF9839,544        pp,4.51,"1,024","Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Kindle Edition,view,/book/show/177178698-becoming-madam-secretary
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Echo of Old Books,"Davis, Barbara*",1662511604,9781662511608,1662511604,443        pp,4.31,"72,314","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/62060282-the-echo-of-old-books
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Indigo Girl,"Boyd, Natasha*",1455137111,9781455137114,1455137111,343        pp,4.21,"41,817","Oct 03, 2017","Oct 03, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Another outstanding choice by my book group and a 5 star read!!,Notes are private!,0,5,1,"Feb 13, 2024","Feb 15, 2024","Feb 13, 2024",,Hardcover,view (with text),/book/show/34412073-the-indigo-girl
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Supercommunicators: How to Unlock the Secret Language of Connection,"Duhigg, Charles*",0593243919,9780593243916,0593243919,320        pp,4.08,"3,300","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Hardcover,view,/book/show/157981748-supercommunicators
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,503","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2024",,Hardcover,view,/book/show/123206645-the-fury
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bat        (Harry Hole, #1)","Nesbø, Jo*",034580709X,9780345807090,034580709X,369        pp,3.56,"117,418",1997,"Jul 02, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 27, 2024","Jan 28, 2024","Jan 25, 2024",,Paperback,view,/book/show/17345209-the-bat
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Snow Flower and the Secret Fan,"See, Lisa*",,,B000FCK71U,288        pp,4.09,"372,445","Feb 21, 2005",Jul 2018,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I believe this is my first book by this author. Great read and great discussion book for a book group. I plan to read more of her books.,Notes are private!,2,3,1,"Jan 19, 2024","Jan 21, 2024","Jan 18, 2024",,Kindle Edition,view (with text),/book/show/40873273-snow-flower-and-the-secret-fan
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Most Agreeable Murder,"Seales, Julia*",0593449983,9780593449981,,352        pp,3.69,"14,768","Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 06, 2024",,Hardcover,view,/book/show/62794526-a-most-agreeable-murder
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Voyage of the Damned,"Thomas, Gordon",1568525796,9781568525792,1568525796,336        pp,4.05,"1,064","Jan 01, 1974","Apr 07, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 31, 2023","Jan 25, 2024","Dec 30, 2023",,Hardcover,view,/book/show/619930.Voyage_of_the_Damned
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"16th Seduction        (Women's Murder Club, #16)","Patterson, James*",1780895194,9781780895192,1780895194,480        pp,4.11,"39,143","May 01, 2017","Jan 01, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 28, 2024",not set,"Dec 30, 2023",,Hardcover,view,/book/show/30079418-16th-seduction
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"15th Affair        (Women's Murder Club, #15)","Patterson, James*",1784751995,9781784751999,1784751995,480        pp,4.12,"38,599","May 02, 2016","May 02, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Dec 27, 2023","Dec 29, 2023","Dec 26, 2023",,Paperback,view,/book/show/25613617-15th-affair
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reykjavík: A Crime Story,"Jónasson, Ragnar*",1250907330,9781250907332,B0BQGGBLWY,355        pp,3.67,"6,168",2022,"Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Hardcover,view,/book/show/65214641-reykjav-k
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl by the Bridge        (Detective Konrad, #2)","Indriðason, Arnaldur",1787303519,9781787303515,1787303519,352        pp,3.72,"2,343",2018,"Mar 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Paperback,view,/book/show/61398432-the-girl-by-the-bridge
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lady Tan’s Circle of Women,"See, Lisa*",1982117087,9781982117085,1982117087,368        pp,4.37,"83,865","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/62919732-lady-tan-s-circle-of-women
