,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Gail's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piglet,"Hazell, Lottie",125028984X,9781250289841,125028984X,320        pp,3.60,"5,844","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 10, 2024",not set,"Apr 10, 2024",,Hardcover,view,/book/show/127282554-piglet
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sociopath,"Gagne, Patric",166800318X,9781668003183,166800318X,368        pp,4.15,889,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2024",,Hardcover,view,/book/show/176443093-sociopath
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dearborn,"Zeineddine, Ghassan",1959030299,9781959030294,1959030299,240        pp,4.23,775,"Sep 05, 2023","Sep 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I first spied Ghassan Zeineddine’s debut collection of short stories when I read a great NPR  of them upon their release last fall.I’ll admit, II first spied Ghassan Zeineddine’s debut collection of short stories when I read a great NPR  of them upon their release last fall.I’ll admit, I was drawn in at first glance by the book’s cover (those colors! that eye-catching font!), and so I mentally filed away the title as one I wanted to pick up whenever I experienced my next itch for some short stories (something I’m more picky about than the novels I choose to read). Fast forward to February, and suddenly I’m suggesting the collection to my partner in crime (and by crime, I mean lover of books), Laura, as our next selection for the online book club we’ve created, Great Midwest Book Group.Laura and I are devoted to showcasing authors whose books celebrate the Midwest, and I loved the idea that, instead of the stereotypical corn-fed, white farmers and factory workers readers may think of when they think of that word, this author sought to educate readers about the rich diversity of Dearborn, Michigan, aka the Arab-American capital of the USA.After finishing the first story, I *knew* in my gut this was going to be our next pick (Ghassan’s writing is just that good!) and when Laura texted me to share her own enthusiastic endorsement of the selection, I might have done a little jig in my office chair.I did another one when Ghassan confirmed that he would be willing to join us for our Zoom discussion with him on Thursday, April 25, so I’ll inform anybody reading this  before that date that you are MORE than welcome to join us (message me if you’re interested in the details).Already I cannot wait to talk to Ghassan about his American experience (he grew up in Saudi Arabia); his role as a professor of creative writing at various Midwestern universities (U of M-Dearborn and Oberlin, among them); and his inspiration for the remarkable characters who populate this award-winning collection of short stories that, as I've taken to describing them, are filled with heart, humor, and history in equal measure. (Among my favorites: “Speedoman,” “Money Chickens,” “Marseille”, “I Have Reasons to Believe My Neighbor is a Terrorist” and “Yusra”.) After reading this debut, one thing's for certain: I will be pre-ordering whatever Ghassan Zeineddine writes next....more",Notes are private!,9,13,1,Apr 2024,Apr 2024,"Apr 04, 2024",,Paperback,view (with text),/book/show/96178193-dearborn
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tour Wars        (Romancing the Ruins Book 3),"Luna, Carla*",,9798989413003,B0CP8LJM6Z,323        pp,4.42,74,unknown,"Mar 05, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The third and final installment in my friend Carla Luna’s Romancing the Ruins series is SUCH a delightful read. It’s rare that I read romance series (The third and final installment in my friend Carla Luna’s Romancing the Ruins series is SUCH a delightful read. It’s rare that I read romance series (usually I’m a ‘one and done’ reader drawn most to stand alones), but I SO enjoyed getting to meet all the characters in this destination romance series and I appreciate how I’ve been able to chart their personal and professional growth from one book to the next. While you don’t have to read the earlier books (Field Rules and Troy Story) to enjoy Tour Wars, I can tell you that doing so makes for just as fun an escape as this trip Carla takes you on to Rome.And the spice in this one? Well, it’s pretty darn nice, too. ...more",Notes are private!,0,4,1,Apr 2024,Apr 2024,"Apr 04, 2024",,Kindle Edition,view (with text),/book/show/202996412-tour-wars
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Expiration Dates,"Serle, Rebecca*",1982166827,9781982166823,1982166827,272        pp,3.79,"12,968","Mar 19, 2024","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Expiration Dates is Rebecca Serle’s newest novel and, without question, my favorite title of hers to date. The focus of the story (or so you’re lead tExpiration Dates is Rebecca Serle’s newest novel and, without question, my favorite title of hers to date. The focus of the story (or so you’re lead to believe) is how, with each new love interest she meets, Daphne Bell receives a slip of paper informing her how much time they’re destined to spend together.It’s an interesting concept and one that made me want to read Serle’s work again (after some of her previous titles ended up only 3-star selections for me). In the end, it wasn’t the promise of romance that kept me turning the pages of this buzzy new release so much as the direction the story took in focusing on Daphne’s growth—a personal journey that played out in a contemplative way against the backdrop of her hometown of Los Angeles (a city I happen to love). A quarter of the way through this one, I thought I saw the ending coming (by that I mean, who Daphne ultimately ends up with), but the plot twists that followed proved to be the book’s real (and rather unexpected) reveals. Those twists are what made reading Expiration Dates an overall engrossing experience, and so I wholeheartedly recommend this title, especially for anyone seeking out stories about self-love and the importance of living in the moment. Excited now to hear the Bad on Paper gals discuss it for their upcoming April Book Club podcast episode! ...more",Notes are private!,0,4,1,"Apr 02, 2024","Apr 07, 2024","Apr 02, 2024",,Hardcover,view (with text),/book/show/176443178-expiration-dates
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Sisters,"Mellors, Coco*",0593723767,9780593723760,0593723767,352        pp,4.39,344,"Apr 25, 2024","Sep 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/195430687-blue-sisters
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Story,"Shaffer, Meg*",0593598873,9780593598870,0593598873,352        pp,4.17,588,"Jul 04, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Hardcover,view,/book/show/199927030-the-lost-story
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heavy Hitter,"Cotugno, Katie*",0063393956,9780063393950,0063393956,256        pp,0.00,0,unknown,"Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Paperback,view,/book/show/202921631-heavy-hitter
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deliver Me from Nowhere: The Making of Bruce Springsteen's Nebraska,"Zanes, Warren*",0593237412,9780593237410,0593237412,320        pp,4.43,"1,115",2023,"May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/61913599-deliver-me-from-nowhere
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kent State: Four Dead in Ohio,"Backderf, Derf*",1419734849,9781419734847,1419734849,280        pp,4.48,"3,540","Sep 08, 2020","Sep 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/50159458-kent-state
