,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,piperitapitta's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Storia dei miei soldi,"Panarello, Melissa*",,9791221700367,B0CV5RS1YF,197        pp,3.49,35,unknown,"Feb 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Apr 11, 2024",,Kindle Edition,view,/book/show/207704030-storia-dei-miei-soldi
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Adelaida,"Bravi, Adrián N.",,9791255480396,B0CHTD42NK,144        pp,4.09,11,unknown,"Feb 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Apr 09, 2024","Apr 12, 2024","Apr 09, 2024",,Paperback,view,/book/show/207912330-adelaida
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romanzo senza umani,"Di Paolo, Paolo",8807035553,9788807035555,8807035553,224        pp,3.14,117,unknown,"Sep 19, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,3,2,1,"Apr 05, 2024","Apr 09, 2024","Apr 05, 2024",,Paperback,view,/book/show/199238327-romanzo-senza-umani
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O Caledonia,"Barker, Elspeth",1668004615,9781668004616,1668004615,188        pp,3.99,"6,383","Aug 19, 1991","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Apr 01, 2024",,Paperback,view,/book/show/60321053-o-caledonia
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessico famigliare,"Ginzburg, Natalia",8496142434,9788496142435,B00GSSDWW6,221        pp,3.91,"17,863",1963,"May 14, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,Apr 2024,"Apr 12, 2024","Apr 01, 2024",,Hardcover,view,/book/show/10333455-lessico-famigliare
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il tempo migliore della nostra vita,"Scurati, Antonio",8845279138,9788845279133,8845279138,267        pp,3.78,228,"Apr 16, 2015","Apr 16, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Mar 26, 2024",Apr 2024,"Mar 26, 2024",,Paperback,view,/book/show/25364580-il-tempo-migliore-della-nostra-vita
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Israele-Palestina. Oltre i nazionalismi,"VV., AA.",8833577767,9788833577760,B0CW1MKNX3,82        pp,0.00,0,unknown,"Apr 10, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Kindle Edition,view,/book/show/209173184-israele-palestina-oltre-i-nazionalismi
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memoria della memoria,"Stepanova, Maria",8845299856,9788845299858,8845299856,458        pp,3.85,"1,855",2017,"Feb 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2024",not set,"Mar 25, 2024",,Paperback,view,/book/show/50702214-memoria-della-memoria
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aut-Aut,"Batuman, Elif",8858444884,9788858444887,B0CVPWM1L6,416        pp,4.03,"20,928",2022,"Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,9,1,1,not set,not set,"Mar 18, 2024",,ebook,view,/book/show/208534901-aut-aut
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dove la luce,"Pellegrino, Carmen",8834617150,9788834617151,B0CVNHQ3MP,191        pp,3.90,10,unknown,"Feb 27, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Intersezioni[image]Gessopalena dove Pellegrino immagina (immagina, non si tratta di una congettura) possa essersi nascosto CaffèDevo ancora elaborare Intersezioni[image]Gessopalena dove Pellegrino immagina (immagina, non si tratta di una congettura) possa essersi nascosto CaffèDevo ancora elaborare un giudizio definitivo, perché se è interessante la commistione di generi (per quanto in una lettura relativamente breve) che alterna auobiografismo a biografismo (la vicenda della scomparsa a Roma nel 1987 del professor Federico Caffè) a fiction, a poesia, e nonostante siano interessanti alcune delle riflessioni di carattere sociale di Carmen Pellegrino su società ed economia e città e paesi - ho letto su Wikipedia che ""originaria di Postiglione degli Alburni, centro cilentano al confine tra Campania e Basilicata, è nota anche per il suo campo d'interesse più recente, ossia l'attenzione dedicata alla memoria dei borghi abbandonati e alla scienza dell'abbandono, intesa come forma di recupero alla coscienza del vissuto storico dei luoghi, attività per la quale l'Istituto Treccani ha appositamente registrato il neologismo ""abbandonologo"" - mi sembra che manchi qualcosa per elevarla, per esempio, all'altezza di autrici come Maria Grazia Calandrone, che un lavoro analogo (senza il biografismo relativo a un personaggio pubblico come fu Caffè) lo fa in Dove non mi hai portata: Mia madre, un caso di cronaca, e con una ricerca linguistica che, seppur lirica al punto da poter risultare sgradita a molti (mentre per me serve a trovare la giusta distanza, quella letteraria, dalla tragedia di cui è stata inconsapevole protagonista), a mio parere è superiore.[image]Postiglione degli AlburniMi spinge, però, a volerne leggere altro, ma anche a leggere altro su Federico Caffè; magari L'ultima lezione. La solitudine di Federico Caffè scomparso e mai più ritrovato di Ermanno Rea o uno dei due libri che gli dedica il suo ex allievo (ed economista) Bruno Amoroso, o ancora, a guardare uno dei documentari che sono stati dedicati alla sua figura e alla sua scomparsa.Tre stelle, ma forse sono più tre e mezza.Il titolo, nota magari sconosciuta a chi non l'ha letta, riprende un verso di Giuseppe Ungaretti Dove la luce Come allodola ondosa Nel vento lieto sui giovani prati, Le braccia ti sanno leggera, vieni. Ci scorderemo di quaggiù, E del male e del cielo, E del mio sangue rapido alla guerra, Di passi d'ombre memori Entro rossori di mattine nuove. Dove non muove foglia più la luce, Sogni e crucci passati ad altre rive, Dov'è posata sera, Vieni ti porterò Alle colline d'oro. L'ora costante, liberi d'età, Nel suo perduto nimbo Sarà nostro lenzuolo.. (Sentimento del Tempo - Firenze, Vallecchi 1933)...more",Notes are private!,1,9,1,"Mar 16, 2024","Mar 22, 2024","Mar 16, 2024",,Kindle Edition,view (with text),/book/show/208498605-dove-la-luce
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vita delle rocce,"Bass, Rick",8862619006,9788862619004,8862619006,262        pp,4.09,541,2006,"Oct 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Mar 11, 2024","Mar 24, 2024","Mar 11, 2024",,Paperback,view,/book/show/199581854-la-vita-delle-rocce
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piccoli atti di misericordia,"Lehane, Dennis*",8830461407,9788830461406,,320        pp,4.31,"43,580","Apr 25, 2023","Jun 13, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Mar 07, 2024","Mar 09, 2024","Mar 07, 2024",,ebook,view,/book/show/178307655-piccoli-atti-di-misericordia
