,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ian's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559736,9780525559733,0525559736,307        pp,3.52,"190,981","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,Hardcover,view,/book/show/42815544-bunny
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Invisible Man,"Ellison, Ralph",,,,581        pp,3.91,"187,873","Apr 14, 1952","Feb 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,Paperback,view,/book/show/16981.Invisible_Man
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2023 on Goodreads,Various,,,,unknown,4.12,"1,420",2023,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Hoping to read this soon!,Notes are private!,1,1,0,not set,not set,"Dec 03, 2023",,,view (with text),/book/show/62316199-2023-on-goodreads
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yumi and the Nightmare Painter,"Sanderson, Brandon*",1938570375,9781938570377,1938570375,480        pp,4.49,"46,230","Jul 01, 2023","Jul 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/60531416-yumi-and-the-nightmare-painter
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Eaters,"Dean, Sunyi*",1250810183,9781250810182,1250810183,298        pp,3.65,"39,251","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/58724745-the-book-eaters
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beartown        (Beartown, #1)","Backman, Fredrik*",,,,432        pp,4.29,"439,211","Sep 15, 2016","Apr 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Kindle Edition,view,/book/show/33413128-beartown
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Man Called Ove,"Backman, Fredrik*",1476738017,9781476738017,,337        pp,4.38,"1,031,729","Aug 27, 2012","Jul 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/18774964-a-man-called-ove
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Echo of Old Books,"Davis, Barbara*",1542038154,9781542038157,B0B9RNFT4S,431        pp,4.31,"72,365","Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Kindle Edition,view,/book/show/62060274-the-echo-of-old-books
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,268","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Brilliant Friend        (The Neapolitan Novels, #1)","Ferrante, Elena",,,,331        pp,4.04,"332,950","Oct 19, 2011","Sep 25, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2023",,Paperback,view,/book/show/35036409-my-brilliant-friend
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What I Talk About When I Talk About Running,"Murakami, Haruki",0307269191,9780307269195,0307269191,188        pp,3.87,"167,222","Oct 15, 2007","Jul 29, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 29, 2023",,Hardcover,view,/book/show/2195464.What_I_Talk_About_When_I_Talk_About_Running
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Half of a Yellow Sun,"Adichie, Chimamanda Ngozi",1400044162,9781400044160,1400044162,433        pp,4.34,"158,879","Sep 12, 2006","Sep 12, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 29, 2023",,Hardcover,view,/book/show/18749.Half_of_a_Yellow_Sun
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Psalm for the Wild-Built        (Monk & Robot, #1)","Chambers, Becky*",,,,160        pp,4.28,"106,106","Jul 13, 2021","Jul 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Kindle Edition,view,/book/show/40864002-a-psalm-for-the-wild-built
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",,,,496        pp,4.33,"471,201","Feb 07, 2017","Feb 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Kindle Edition,view,/book/show/34051011-pachinko
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Starless Sea,"Morgenstern, Erin*",038554121X,9780385541213,038554121X,498        pp,3.86,"203,442","Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/43575115-the-starless-sea
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If We Were Villains,"Rio, M.L.*",125009528X,9781250095282,125009528X,354        pp,4.17,"272,466","Apr 11, 2017","Apr 11, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/30319086-if-we-were-villains
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,428","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/61718053-happy-place
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reformatory,"Due, Tananarive*",1982188340,9781982188344,1982188340,576        pp,4.50,"11,197","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/62919847-the-reformatory
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anthropocene Reviewed,"Green, John*",0525555218,9780525555216,0525555218,293        pp,4.37,"124,132","May 18, 2021","May 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/55145261-the-anthropocene-reviewed
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,495","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/57945316-babel
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Alone,"Hannah, Kristin*",,,,435        pp,4.42,"784,400","Feb 06, 2018","Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Kindle Edition,view,/book/show/34912895-the-great-alone
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Things We Cannot Say,"Rimmer, Kelly*",1525831518,9781525831515,1525831518,448        pp,4.53,"165,821","Feb 26, 2019","Oct 17, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 26, 2023",,Hardcover,view,/book/show/40899464-the-things-we-cannot-say
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Dark,"Murakami, Haruki",0307265838,9780307265838,0307265838,191        pp,3.74,"162,929",2004,"May 08, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/17803.After_Dark
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Station Eleven,"Mandel, Emily St. John*",0385353308,9780385353304,0385353308,333        pp,4.07,"517,974","Aug 26, 2014","Sep 09, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/20170404-station-eleven
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything I Never Told You,"Ng, Celeste*",159420571X,9781594205712,159420571X,297        pp,3.85,"549,972","Jun 26, 2014","Jun 26, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/18693763-everything-i-never-told-you
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atonement,"McEwan, Ian*",038572179X,9780385721790,B00A2M6OLU,351        pp,3.94,"519,693","Sep 20, 2001",Mar 2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/6867.Atonement
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka on the Shore,"Murakami, Haruki",1400079276,9781400079278,1400079276,467        pp,4.13,"468,863",Sep 2002,"Jan 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,3,1,1,"Jan 18, 2024",not set,"Nov 25, 2023",,Paperback,view,/book/show/4929.Kafka_on_the_Shore
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beloved,"Morrison, Toni",,9781400033416,1400033411,324        pp,3.95,"435,369","Sep 16, 1987","Jun 08, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Haven't been on here in a while, but I just finished this book and like what the heck.So many amazing lines, an absolute ton of stuff to analyze and tHaven't been on here in a while, but I just finished this book and like what the heck.So many amazing lines, an absolute ton of stuff to analyze and think about (I think I'd hate the book if we didn't discuss it everyday in Lit). The plot line itself is quite crazy, with some elements of magical/horror fiction artfully woven with historical interpretation, a nonlinear plot, seamless transitions between character perspectives (sometimes too seamless), very human emotions (sometimes hard to understand, but that's what makes us human), and so much more.Definitely the most challenging book I've read (even the basic storyline can be confusing at times), but really worth spending time on. I'm genuinely excited to figure out what I'm going to write about for the upcoming essay.Big note: Only read the book if you have people to discuss it with :)...more",Notes are private!,8,5,1,not set,"Nov 13, 2023","Nov 13, 2023",,Paperback,view (with text),/book/show/6149.Beloved
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let the Great World Spin,"McCann, Colum*",1400063736,9781400063734,1400063736,351        pp,3.95,"104,955","Jun 16, 2009","Jun 23, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I actually loved this book! :) Maybe I'll write a full  later, idkI actually loved this book! :) Maybe I'll write a full  later, idk...more",Notes are private!,10,4,1,"Sep 24, 2023","Oct 03, 2023","Sep 24, 2023",,Hardcover,view (with text),/book/show/5941033-let-the-great-world-spin
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,River Sing Me Home,"Shearer, Eleanor*",0593548043,9780593548042,0593548043,322        pp,4.02,"22,515","Jan 19, 2023","Jan 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.0/5Really beautiful use of language, although I felt the pacing was a bit too fast. There were definitely multiple motifs and metaphors that I misse4.0/5Really beautiful use of language, although I felt the pacing was a bit too fast. There were definitely multiple motifs and metaphors that I missed because I didn't have my stickies with me when I read :/...more",Notes are private!,8,3,1,"Sep 24, 2023","Oct 09, 2023","Sep 24, 2023",,Hardcover,view (with text),/book/show/61111298-river-sing-me-home
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Lost Names,"Harmel, Kristin*",1982131896,9781982131890,1982131896,388        pp,4.43,"198,266","Jul 21, 2020","Jul 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2023",,Hardcover,view,/book/show/52762903-the-book-of-lost-names
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before We Were Yours,"Wingate, Lisa*",0425284689,9780425284681,0425284689,342        pp,4.40,"606,924","Jun 06, 2017","Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2023",,Hardcover,view,/book/show/32148570-before-we-were-yours
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Remains of the Day,"Ishiguro, Kazuo*",,,,258        pp,4.14,"303,606","May 01, 1989",2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.1/5Overall pretty good book, very different from other books I've read recently. It's much more of a character study, and of a character who's extra4.1/5Overall pretty good book, very different from other books I've read recently. It's much more of a character study, and of a character who's extraordinarily set in his ways as a butler. The characters, Mr. Stevens, definitely has some opinions I don't agree with, and it's certainly frustrating at times to listen to his thoughts and unyielding perspectives, but it's an interesting read nonetheless. The voice in this book is very clear and unique, falling directly in line with what a mid-20th century butler probably sounded like, and as a result some of the vocabulary is pretty funny (joke = witticism, for example). I also think it's very interesting how Ishiguro manages to take what would usually be considered a background character and bring his life to the forefront, taking into account his recollections, memories, emotions, suppression of emotions, and more. Sometimes, he'll go on long tangents about the smallest of things for several pages, but I think it all contributes to the charm and realistic take of the novel.About halfway through the book, I might've rated this slightly higher than a 4.1, but the ending doesn't seem like much of an ending. I get that it's realistic for the character, so that's a positive, but it didn't seem to conclude the novel. Ishiguro could just have well wrote another 150 pages, and it still could've been interesting.Anyway, I'd recommend it if you're into character studies, 20th century England, deep reflections, unique voice and perspective, and/or a character who can't make a good joke for his life....more",Notes are private!,6,2,1,"Aug 22, 2023","Sep 02, 2023","Aug 27, 2023",,Paperback,view (with text),/book/show/28921.The_Remains_of_the_Day
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Night at the Telegraph Club,"Lo, Malinda*",0525555250,9780525555254,0525555250,409        pp,4.23,"84,481","Jan 19, 2021","Jan 19, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,4,1,not set,not set,"Aug 19, 2023",,Hardcover,view,/book/show/35224992-last-night-at-the-telegraph-club
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Golden Compass        (His Dark Materials, #1)","Pullman, Philip",0679879242,9780679879244,B001NAR73E,399        pp,4.02,"1,525,533","Jul 01, 1995","Apr 16, 1996",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,.-.,Notes are private!,0,1,1,Jan 2021,not set,"Jul 20, 2023",,Hardcover,view (with text),/book/show/119322.The_Golden_Compass
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Night        (The Night Trilogy, #1)","Wiesel, Elie",,,,120        pp,4.37,"1,244,782",1956,"Jan 16, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Jan 2021,not set,"Jul 20, 2023",,Paperback,view,/book/show/1617.Night
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It,"King, Stephen*",0450411435,9780450411434,0450411435,"1,168        pp",4.24,"1,110,731","Sep 15, 1986","Oct 01, 1987",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Long... Too long,Notes are private!,0,0,1,Jan 2020,not set,"Jul 20, 2023",,Paperback,view (with text),/book/show/830502.It
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flowers for Algernon,"Keyes, Daniel",,,,311        pp,4.21,"671,479",Apr 1966,"May 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2016,"Jul 20, 2023",,Paperback,view,/book/show/18373.Flowers_for_Algernon
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Count of Monte Cristo,"Dumas, Alexandre",0140449264,9780140449266,0140449264,"1,276        pp",4.30,"913,647","Aug 28, 1844","May 27, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2018,Jan 2018,"Jul 20, 2023",,Paperback,view,/book/show/7126.The_Count_of_Monte_Cristo
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Caraval        (Caraval, #1)","Garber, Stephanie*",1250095255,9781250095251,1250095255,407        pp,3.99,"519,439","Sep 29, 2016","Jan 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 20, 2023",,Hardcover,view,/book/show/27883214-caraval
