,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,BookOfCinz's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
0,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Season of Crimson Blossoms,"Ibrahim, Abubakar Adam",1911115006,9781911115007,1911115006,313        pp,3.93,641,"Jan 13, 2016","May 20, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Paperback,view,/book/show/27971043-season-of-crimson-blossoms
1,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unlearning Shame: How We Can Reject Self-Blame Culture and Reclaim Our Power,"Price, Devon*",0593581210,9780593581216,0593581210,368        pp,4.28,169,unknown,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 07, 2024",not set,"Apr 07, 2024",,Hardcover,view,/book/show/150247407-unlearning-shame
2,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Expectations,"Cunningham, Vinson",0593448235,9780593448236,0593448235,272        pp,3.49,356,"Mar 12, 2024","Mar 12, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Great Expectation follows David, in his twenties and he recently started working for a Senator’s presidential campaign. We hear David’s thoughts on thGreat Expectation follows David, in his twenties and he recently started working for a Senator’s presidential campaign. We hear David’s thoughts on the Senator, the campaign and his feelings in general about what is happening around him. Honestly, this book felt like a stream of consciousness and not in a good way. I kept wondering, “how is this moving the plot along?” I was bored mid way through to be honest. ...more",Notes are private!,0,7,1,"Mar 31, 2024","Mar 31, 2024","Mar 31, 2024",,Hardcover,view (with text),/book/show/139400711-great-expectations
3,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Rot,"Emezi, Akwaeke*",0525541632,9780525541639,0525541632,288        pp,4.10,29,"Jun 18, 2024","Jun 18, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Underwhelming, amateur, one-dimensional and chaotic This may be my least favourite book by Akwaeke. Trigger Warning: Lots of sexual abuse. In Little  Underwhelming, amateur, one-dimensional and chaotic This may be my least favourite book by Akwaeke. Trigger Warning: Lots of sexual abuse. In Little Rot we are taken to a city in Nigerian where we meet four friends. The book opens with Kalu taking his long time girlfriend Aima to the airport because she refuses to live in sin and he is not ready for marriage. After much back and forth Aima decides its time to move away, however she can’t seem to get on the plane so she stays with her friend in Nigeria. Kalu, unaware that Aima didn’t get on the plane decides to go to sex party hosted by his best friend Ahmed. These parties are highly exclusive, invitation only and caters to Nigeria’s rich, everything must be discreet and everyone looks the other way even at things that are illegal. Kalu makes a snap decision and attacks a guest at the party and that puts everyone in danger. The book explores what happens when powerful people are put in position where they don’t feel powerful. How corruption, power, sex and money can get you everything. I am not sure what I expected from this book but this was not it. I was reading it and I thought, “this book feels very lacklustre, it’s not the book I expected them to write, it feels ordinary and lacking any form of substance.” The book felt too long, it was insanely predictable, often times it felt like the author was trying to shock me which made me roll my eyes. It felt so pedantic and overdone. It felt amateur, that's what I will say. I guess you can say I didn’t like this one....more",Notes are private!,1,24,1,"Mar 28, 2024","Mar 31, 2024","Mar 28, 2024",,Hardcover,view (with text),/book/show/202165946-little-rot
4,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Acts of Forgiveness,"Cheeks, Maura",0593598296,9780593598290,0593598296,320        pp,3.77,530,"Feb 13, 2024","Feb 13, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A solid premise the execution was very shaky The book opens with tension as the characters wait to hear whether the US first female president will pa A solid premise the execution was very shaky The book opens with tension as the characters wait to hear whether the US first female president will pass the Forgiveness Act. With this act, Black families can claim up to $175,000 if they can prove that they are descendants of slaves or had land stolen from them. What happens in the book is a exploration of how the Act affects Willie and her family. Willie Revel and her family grew up well off but never sheltered from racism. She loves her family and her dream was to be a part of the construction company, that’s until she decided to become a journalist. After a one-night stand she becomes pregnant, moves back home raise her daughter with her family and work in the business. The business is struggling and this forgiveness act can help them stay afloat. In order to cash in on the act Millie goes digging into her family’s history- she finds how complicated family dynamics can be. Honestly, this book felt so flat for me. I think the execution was not great, I wanted to have more of a deep dive on how the Forgiveness Act changed things, or didn’t change anything. While I enjoyed Willie’s back story, I wanted more about what happened after the act and I did not get that. Also the book is called, “ACTS OF FORGIVENESS” and little was explored with that. Fair attempt I guess. ...more",Notes are private!,0,10,1,"Mar 16, 2024","Mar 31, 2024","Mar 16, 2024",,Hardcover,view (with text),/book/show/154462829-acts-of-forgiveness
5,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Trace of Sun,"Williams, Pam",1915643368,9781915643360,B0CFDLN6KQ,389        pp,3.86,83,unknown,"Mar 01, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Layered, shattering and engaging. We are taken to the island of Grenada where we meet a family that is about to be ripped apart. Raef is the oldest o Layered, shattering and engaging. We are taken to the island of Grenada where we meet a family that is about to be ripped apart. Raef is the oldest of Cilla children, they live in a tiny cottage in a seaside town in Grenada. Cilla is trying to make ends meet but with two children and a husband in England who hardly sends money, she depends on the kindness of those around her and her sister. One day, her husband sends for her and her younger son, she is forced to leave Raef behind with her sister but promises to file for him. Cilla moves to England and is shocked by what she encounters. She misses her son but is now pregnant with her third child and must work even harder to help provide for everyone. After years of promising Cilla is finally able to bring Raef over to England, but this changes the dynamic of their family for good.  A Trace of Sun  is a strong exploration of what happens when families get ripped apart in search of greener pastures. Yes, we have all read an immigration story, but this one gets to the core of what we lose when leave. I love that the author wrote from the perspective of the three characters, you really felt a part of their family. A strong novel that I will continue to think about. ...more",Notes are private!,0,23,1,"Mar 16, 2024","Mar 31, 2024","Mar 16, 2024",,Kindle Edition,view (with text),/book/show/196230296-a-trace-of-sun
6,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Minaret,"Aboulela, Leila*",0747579423,9780747579427,0747579423,276        pp,3.58,"2,906","Jun 06, 2005","Aug 07, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An exceptionally beautiful read that will break your heart and renew your spirit  I will read anything Leila Aboulela writes, she is treats her chara An exceptionally beautiful read that will break your heart and renew your spirit  I will read anything Leila Aboulela writes, she is treats her characters with care and and offers us a nuanced insight into their lives. In  Minaret  we meet Najwa who is living in London after her family fled from Khartoum. She grew up rich in Khartoum, lived amongst expat and they had to flee when her father got arrested in a coup. For the most part her family was no practising Muslims, while they observed certain holidays, they weren't a part of the community. After fleeing to London Najwa's family experienced a shift in fortune, and in order to keep a roof over their heads she takes up work as a housekeep for a rich family. The book goes between their lives then and now, you see what changes and how she works hard to carve out a life. She turns to religion and leans into her community, we see her goes from nonchalence to a practising Muslims. The author offers a truly beautiful look into her life. I really loved this book, it felt real, it felt authentic- I loved every moment of it. ...more",Notes are private!,0,18,1,"Mar 06, 2024","Mar 16, 2024","Mar 06, 2024",,Paperback,view (with text),/book/show/1751470.Minaret
7,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nairobi Noir,"Kimani, Peter",,9781617757549,1617757543,246        pp,3.71,157,"Feb 04, 2020","Feb 04, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have been putting off reading this collection but after visiting Nairobi I figured it was time for me to dive into it and I am happy I did. This colI have been putting off reading this collection but after visiting Nairobi I figured it was time for me to dive into it and I am happy I did. This collect showcases the diverse characters of Nairobi, what they experience, their dreams and failures. Some of the stories were strong and the others fell a bit short. The Noir series is very dark but some light do shine in these stories and characters. ...more",Notes are private!,0,8,1,"Mar 04, 2024","Mar 16, 2024","Mar 04, 2024",,Paperback,view (with text),/book/show/45837984-nairobi-noir
8,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Do Not Come to You by Chance,"Nwaubani, Adaobi Tricia",0753826976,9780753826973,0753826976,345        pp,3.90,"3,101","Jan 01, 2009","Jan 01, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Hilarious, heartwarming, sad, entertaining and un-put-down-able Nwaubani is an excellent author who will take you on the most amazing adventure with  Hilarious, heartwarming, sad, entertaining and un-put-down-able Nwaubani is an excellent author who will take you on the most amazing adventure with characters you can't help but cheer for. In  I Do Not Come To You By Chance  we meet Kingsley who grew up in a family where education was to be the way, the truth and the light. He saw both his mother and father worked to get their education and they instilled in him the value and doors a degree would open for him. It is not until Kingsley graduated from University with a degree as an engineer, started apply for jobs in the oil and gas industry that he realized he was sold a dream. Fresh graduate with the world before him, Kingsley is now realizing that it is not the degree that will open doors, but it is his uncle who is the head of a 419 scam organization. Kingsley decided that in order to provide for his family, he must rely on himself and not wait for hand outs. He joins his Uncle organization and became a full-time scammer. He sends people letters letting them know ""I do not come to you by chance..."" What happens when his luck wears thin?I LOVED this book. As someone who gets a lot of these scam emails, I was a little funny seeing the other side. I loved that the author made it realistic, while not making us feel bad for the scammers. We get a nuanced look into the lives of characters who turn to scamming. A highly entertaining read. ...more",Notes are private!,0,31,1,"Mar 02, 2024","Mar 16, 2024","Mar 02, 2024",,Paperback,view (with text),/book/show/8175576-i-do-not-come-to-you-by-chance
9,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Born on a Tuesday,"John, Elnathan",1911115022,9781911115021,1911115022,261        pp,4.06,"1,440",2015,"Apr 01, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A brilliant coming of age story I finally got around to reading Born On A Tuesday and I am so happy I did. It is a well crafted story about a young b A brilliant coming of age story I finally got around to reading Born On A Tuesday and I am so happy I did. It is a well crafted story about a young boy in North Nigeria trying to make his way with so many set backs. What I loved about the story is that it was so layered, there are moments of comedy, of reflection and where you genuienly want to see the main character win. A brillant read....more",Notes are private!,0,22,1,"Feb 24, 2024","Feb 29, 2024","Feb 24, 2024",,Paperback,view (with text),/book/show/29070600-born-on-a-tuesday
